,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-04,1,True
1,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-15,3,True
2,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-29,5,True
3,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True
4,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-01-07,2,True
5,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-01-16,3,True
6,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-07,2,True
7,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-07,2,True
8,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-07,2,True
9,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-07,2,True
10,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-08,2,True
11,DLN1,K80004044,Push Button Blood Collection,1.0,2019-01-15,3,True
12,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-02-01,5,True
13,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-02-27,9,True
14,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-02-13,7,True
15,DLN1,C13931431,安全注射器回拉式3ml,1.0,2019-02-12,7,True
16,DLN1,C13931431,安全注射器回拉式3ml,0.0,2019-02-27,9,True
17,DLN1,C13931457,安全注射器回拉式5ML,1.0,2019-02-01,5,True
18,DLN1,K80004044,Push Button Blood Collection,1.0,2019-02-12,7,True
19,DLN1,K80004044,Push Button Blood Collection,3.0,2019-02-12,7,True
20,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-03-01,9,True
21,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-03-12,11,True
22,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-03-18,12,True
23,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-03-20,12,True
24,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-03-26,13,True
25,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-03-05,10,True
26,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-03-20,12,True
27,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-03-26,13,True
28,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-03-29,13,True
29,DLN1,C13931431,安全注射器回拉式3ml,0.0,2019-03-01,9,True
30,DLN1,C13931431,安全注射器回拉式3ml,0.0,2019-03-12,11,True
31,DLN1,C13931431,安全注射器回拉式3ml,0.0,2019-03-20,12,True
32,DLN1,C13931431,安全注射器回拉式3ml,0.0,2019-03-26,13,True
33,DLN1,K80004044,Push Button Blood Collection,1.0,2019-03-05,10,True
34,DLN1,K80004044,Push Button Blood Collection,1.0,2019-03-05,10,True
35,DLN1,K80004044,Push Button Blood Collection,1.0,2019-03-05,10,True
36,DLN1,K80004044,Push Button Blood Collection,1.0,2019-03-20,12,True
37,DLN1,K80004044,Push Button Blood Collection,1.0,2019-03-26,13,True
38,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-04-01,14,True
39,DLN1,A00120033,2.5-3cc PVC 注射空針,1.0,2019-04-26,17,True
40,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-04-01,14,True
41,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-04-01,14,True
42,DLN1,A00120067,5cc 塑膠注射空針,1.0,2019-04-03,14,True
