,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLN2,A00120110,10cc塑膠注射空針 無螺紋,1.0,2021-01-12,2,True
1,DLN2,A02320340,〞美迪克〞安全性靜脈留置針  20G,2.0,2021-01-12,2,True
2,DLN2,A04411285,全拋式採血器,1.0,2021-01-19,3,True
3,DLN2,A04411285,全拋式採血器,1.0,2021-01-20,3,True
4,DLN2,A04411285,全拋式採血器,1.0,2021-01-21,3,True
5,DLN2,A04411285,全拋式採血器,1.0,2021-01-22,3,True
6,DLN2,A04411285,全拋式採血器,1.0,2021-01-23,3,False
7,DLN2,A04411285,全拋式採血器,1.0,2021-01-24,3,False
8,DLN2,A04411285,全拋式採血器,1.0,2021-01-25,4,True
9,DLN2,A04411285,全拋式採血器,1.0,2021-01-26,4,True
10,DLN2,A04411285,全拋式採血器,1.0,2021-01-27,4,True
11,DLN2,A04411285,全拋式採血器,1.0,2021-01-28,4,True
12,DLN2,A04411285,全拋式採血器,1.0,2021-01-29,4,True
13,DLN2,A04411285,全拋式採血器,1.0,2021-01-30,4,False
14,DLN2,A04411285,全拋式採血器,1.0,2021-01-31,4,False
15,DLN2,B03106859,人工薄膜,1.0,2021-01-12,2,True
16,DLN2,C13930399,T型連接管,1.0,2021-01-12,2,True
17,DLN2,C13931431,安全注射器回拉式3ml,1.0,2021-01-12,2,True
18,DLN2,G81500272,血糖試紙,1.0,2021-01-19,3,True
19,DLN2,G81500272,血糖試紙,1.0,2021-01-20,3,True
20,DLN2,G81500272,血糖試紙,1.0,2021-01-21,3,True
21,DLN2,G81500272,血糖試紙,1.0,2021-01-22,3,True
22,DLN2,G81500272,血糖試紙,1.0,2021-01-23,3,False
23,DLN2,G81500272,血糖試紙,1.0,2021-01-24,3,False
24,DLN2,G81500272,血糖試紙,1.0,2021-01-25,4,True
25,DLN2,G81500272,血糖試紙,1.0,2021-01-26,4,True
26,DLN2,G81500272,血糖試紙,1.0,2021-01-27,4,True
27,DLN2,G81500272,血糖試紙,1.0,2021-01-28,4,True
