住院日期,護理站,成本中心,人數,週,年,該週總人數,該週最多人,前1週人數,前1週最多人,前1週平均人數
2018-01-07,D15,DLN5,28,1,2018,180,32.0,,,
2018-01-14,D15,DLN5,25,2,2018,199,34.0,180.0,32.0,25.71
2018-01-21,D15,DLN5,31,3,2018,195,31.0,199.0,34.0,28.43
2018-01-28,D15,DLN5,28,4,2018,210,33.0,195.0,31.0,27.86
2018-02-04,D15,DLN5,28,5,2018,185,28.0,210.0,33.0,30.0
2018-02-11,D15,DLN5,15,6,2018,154,28.0,185.0,28.0,26.43
2018-02-18,D15,DLN5,24,7,2018,126,24.0,154.0,28.0,22.0
2018-02-25,D15,DLN5,26,8,2018,189,30.0,126.0,24.0,18.0
2018-03-04,D15,DLN5,30,9,2018,192,30.0,189.0,30.0,27.0
2018-03-11,D15,DLN5,25,10,2018,206,34.0,192.0,30.0,27.43
2018-03-18,D15,DLN5,30,11,2018,208,33.0,206.0,34.0,29.43
2018-03-25,D15,DLN5,25,12,2018,180,28.0,208.0,33.0,29.71
2018-04-01,D15,DLN5,28,13,2018,164,28.0,180.0,28.0,25.71
2018-04-08,D15,DLN5,21,14,2018,147,28.0,164.0,28.0,23.43
2018-04-15,D15,DLN5,32,15,2018,208,33.0,147.0,28.0,21.0
2018-04-22,D15,DLN5,31,16,2018,208,31.0,208.0,33.0,29.71
2018-04-29,D15,DLN5,27,17,2018,186,31.0,208.0,31.0,29.71
2018-05-06,D15,DLN5,23,18,2018,191,32.0,186.0,31.0,26.57
2018-05-13,D15,DLN5,19,19,2018,148,26.0,191.0,32.0,27.29
2018-05-20,D15,DLN5,25,20,2018,185,31.0,148.0,26.0,21.14
2018-05-27,D15,DLN5,30,21,2018,186,31.0,185.0,31.0,26.43
2018-06-03,D15,DLN5,19,22,2018,173,30.0,186.0,31.0,26.57
2018-06-10,D15,DLN5,27,23,2018,173,28.0,173.0,30.0,24.71
2018-06-17,D15,DLN5,24,24,2018,183,31.0,173.0,28.0,24.71
