料號,品名,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
A00120025,2.5-3cc PVC 注射空針,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
A00120067,5cc 塑膠注射空針,3.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0
A00120110,10cc塑膠注射空針 無螺紋,18.0,0.0,0.0,0.0,27.0,11.0,0.0,0.0,2.0,0.0,0.0,3.0
A00421190,胰島素安全注射筒附針-30G,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02120241,塑膠注射針頭,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,4.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
A04411285,全拋式採血器,161.0,97.0,109.0,87.0,59.0,148.0,65.0,62.0,67.0,36.0,35.0,70.0
A04411370,胰島素筆型注射器針頭32G x 4mm,31.0,28.0,30.0,22.0,0.0,28.0,31.0,31.0,30.0,31.0,30.0,40.0
A04800036,靜脈輸液套，附Y加葯管,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
B03106859,人工薄膜,5.0,0.0,0.0,2.0,14.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0
C02113123,抽痰管，內含手控接頭,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13830005,IV注射帽,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C13930399,T型連接管,5.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0
C13931431,安全注射器回拉式3ml,8.0,3.0,1.0,3.0,10.0,6.0,2.0,3.0,8.0,0.0,0.0,3.0
C13941807,抽痰連接管,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14000004,輸液延長管,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G81500272,血糖試紙,161.0,96.0,109.0,87.0,59.0,148.0,65.0,62.0,67.0,36.0,34.0,70.0
K80004044,Push Button Blood Collection,11.0,16.0,21.0,28.0,27.0,21.0,20.0,17.0,23.0,17.0,0.0,23.0
C13931457,安全注射器回拉式5ML,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A00120033,2.5-3cc PVC 注射空針,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
A04200020,精密控制輸液套附免針加藥座,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00120168,二叉留置導尿管16FR,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J00202019,勤達豪華型尿袋 (滅菌),0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U91700000,丟棄式導尿包,0.0,0.0,0.0,0.0,1.0,53.0,93.0,93.0,91.0,93.0,89.0,70.0
B13500704,無菌手套 7.0 Fr有粉,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C00211075,橡皮導尿管1wayNo14美規,0.0,0.0,0.0,0.0,0.0,58.0,90.0,25.0,0.0,0.0,0.0,0.0
C00211067,橡皮導尿管1wayNo12美規,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,92.0,95.0,89.0,71.0
A02120180,塑膠注射針頭,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C02723000,氧氣鼻管 O2雙管 2-Way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
