料號,品名,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
A00120017,1cc PVC注射空針 無螺紋,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0
A00120033,2.5-3cc PVC 注射空針,647.0,628.0,660.0,707.0,655.0,508.0,666.0,769.0,825.0,733.0,807.0,828.0
A00120059,5cc塑膠注射空針,7.0,0.0,3.0,3.0,6.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0
A00120067,5cc 塑膠注射空針,550.0,460.0,690.0,510.0,569.0,528.0,583.0,580.0,572.0,613.0,509.0,542.0
A00120110,10cc塑膠注射空針 無螺紋,563.0,659.0,753.0,759.0,733.0,602.0,821.0,692.0,736.0,698.0,793.0,701.0
A00120213,20CC塑膠注射空針直插  (無螺紋),240.0,386.0,202.0,211.0,229.0,231.0,198.0,293.0,168.0,279.0,195.0,326.0
A00120504,50cc塑膠注射空針-非螺紋,9.0,15.0,17.0,4.0,10.0,1.0,10.0,6.0,5.0,7.0,10.0,21.0
A00421190,胰島素安全注射筒附針-30G,108.0,96.0,60.0,53.0,33.0,15.0,41.0,43.0,29.0,36.0,80.0,50.0
A00520051,真空採血器,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A01130509,塑膠灌食空針,2.0,9.0,4.0,1.0,7.0,1.0,4.0,5.0,2.0,1.0,3.0,6.0
A02120180,塑膠注射針頭,158.0,251.0,152.0,160.0,149.0,143.0,141.0,246.0,138.0,213.0,132.0,186.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,1.0,1.0,3.0,0.0,6.0,7.0,1.0,7.0,12.0,13.0,5.0,8.0
A02320160,靜脈留置針-16G,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02320186,靜脈留置針-18G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,205.0,224.0,232.0,226.0,229.0,212.0,247.0,204.0,214.0,221.0,199.0,211.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,138.0,154.0,165.0,200.0,188.0,136.0,137.0,134.0,139.0,164.0,160.0,149.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,6.0,7.0,9.0,1.0,1.0,0.0,10.0,9.0,14.0,11.0,17.0,22.0
A03295054,安全式注射筆專用針,78.0,126.0,103.0,35.0,18.0,28.0,45.0,71.0,59.0,44.0,53.0,71.0
A04119488,幫浦輸液套(含加藥筒),3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
A04120306,幫浦輸液套(一般型),11.0,28.0,22.0,10.0,16.0,8.0,8.0,24.0,16.0,24.0,15.0,28.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,197.0,175.0,211.0,193.0,197.0,176.0,213.0,186.0,196.0,211.0,199.0,232.0
A04300023,急速輸血套附Y型管,26.0,18.0,28.0,26.0,19.0,15.0,18.0,28.0,24.0,19.0,17.0,26.0
A04411285,全拋式採血器,608.0,902.0,698.0,728.0,466.0,456.0,560.0,685.0,739.0,545.0,744.0,697.0
A04411370,胰島素筆型注射器針頭32G x 4mm,18.0,31.0,44.0,4.0,59.0,17.0,0.0,7.0,28.0,9.0,0.0,37.0
A04800036,靜脈輸液套，附Y加葯管,47.0,61.0,59.0,56.0,82.0,48.0,40.0,55.0,75.0,53.0,78.0,52.0
A10122001,腰椎穿刺針-22G,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B00204053,彈性繃帶-非滅菌,21.0,10.0,9.0,9.0,10.0,12.0,13.0,16.0,3.0,13.0,10.0,13.0
B00206057,彈性繃帶-非滅菌,62.0,34.0,49.0,43.0,65.0,66.0,68.0,47.0,45.0,76.0,53.0,59.0
B00304056,彈性紗捲,94.0,46.0,58.0,59.0,67.0,59.0,64.0,66.0,40.0,82.0,151.0,81.0
B00306050,彈性紗捲,32.0,31.0,32.0,47.0,58.0,20.0,44.0,14.0,21.0,38.0,18.0,38.0
B00504002,樹脂石膏繃帶-4〞,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B00604047,石膏繃帶 4〞x5YD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B00704040,石膏棉捲-4〞,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B03106859,人工薄膜,308.0,283.0,364.0,337.0,345.0,313.0,354.0,298.0,307.0,352.0,326.0,346.0
B03110120,人工薄膜,66.0,67.0,60.0,79.0,47.0,79.0,55.0,46.0,54.0,67.0,81.0,130.0
B03500039,三角巾,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0
B04150042,免縫膠布,19.0,13.0,25.0,14.0,12.0,13.0,14.0,14.0,10.0,9.0,22.0,13.0
B08142337,紗布墊 3〞x3〞x8ply,2.0,9.0,19.0,6.0,10.0,9.0,4.0,24.0,4.0,15.0,29.0,21.0
B08143445,紗布墊 4〞X4〞X8Ply,4.0,18.0,46.0,39.0,22.0,32.0,19.0,32.0,14.0,13.0,39.0,21.0
B10179025,〝康威〞愛康膚 強化吸收親水性纖維敷料 (滅菌),1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
B10201804,〞潔利定〞負壓傷口治療系統-泡棉組,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
B13500704,無菌手套 7.0 Fr有粉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C00120142,二叉留置導尿管14FR,1.0,2.0,1.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0
C00120168,二叉留置導尿管16FR,6.0,12.0,3.0,8.0,10.0,4.0,4.0,8.0,6.0,2.0,4.0,6.0
C00123169,二叉矽質導尿管-16Fr,1.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0
C00211067,橡皮導尿管1wayNo12美規,4.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0
C00211075,橡皮導尿管1wayNo14美規,5.0,3.0,4.0,2.0,2.0,7.0,7.0,8.0,6.0,3.0,3.0,5.0
C00733004,3 Lumen  輸液導管組,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
