料號,品名,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
A00120025,2.5-3cc PVC 注射空針,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A00120033,2.5-3cc PVC 注射空針,85.0,45.0,110.0,53.0,64.0,42.0,18.0,42.0,15.0,49.0,86.0,69.0
A00120067,5cc 塑膠注射空針,51.0,72.0,43.0,22.0,35.0,47.0,34.0,55.0,38.0,40.0,51.0,76.0
A00120110,10cc塑膠注射空針 無螺紋,122.0,162.0,145.0,45.0,63.0,96.0,65.0,131.0,66.0,127.0,177.0,241.0
A00120213,20CC塑膠注射空針直插  (無螺紋),149.0,119.0,145.0,61.0,76.0,98.0,16.0,166.0,72.0,88.0,115.0,139.0
A00120504,50cc塑膠注射空針-非螺紋,1.0,2.0,2.0,0.0,12.0,3.0,3.0,3.0,0.0,12.0,4.0,2.0
A00421190,胰島素安全注射筒附針-30G,319.0,317.0,340.0,292.0,280.0,329.0,394.0,279.0,272.0,320.0,549.0,590.0
A00520051,真空採血器,18.0,2.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
A01130509,塑膠灌食空針,3.0,3.0,17.0,3.0,3.0,5.0,2.0,3.0,5.0,0.0,2.0,4.0
A02120180,塑膠注射針頭,143.0,134.0,145.0,62.0,102.0,120.0,15.0,188.0,83.0,124.0,142.0,128.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,12.0,27.0,20.0,10.0,21.0,14.0,12.0,23.0,5.0,29.0,10.0,22.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,85.0,67.0,65.0,39.0,37.0,80.0,25.0,73.0,29.0,79.0,58.0,55.0
A03295054,安全式注射筆專用針,128.0,109.0,131.0,119.0,186.0,149.0,154.0,80.0,159.0,289.0,177.0,207.0
A04030052,餵食引導器 (未滅菌),109.0,103.0,115.0,104.0,114.0,100.0,105.0,99.0,111.0,117.0,116.0,120.0
A04120306,幫浦輸液套(一般型),3.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,9.0,30.0,15.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,27.0,35.0,29.0,10.0,12.0,21.0,9.0,32.0,15.0,25.0,30.0,24.0
A04300023,急速輸血套附Y型管,7.0,9.0,10.0,6.0,14.0,3.0,13.0,9.0,7.0,11.0,12.0,15.0
A04411285,全拋式採血器,549.0,339.0,129.0,84.0,115.0,221.0,200.0,78.0,222.0,328.0,403.0,388.0
A04800036,靜脈輸液套，附Y加葯管,17.0,19.0,16.0,19.0,17.0,7.0,1.0,21.0,8.0,2.0,7.0,9.0
B00306050,彈性紗捲,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B03106859,人工薄膜,47.0,63.0,43.0,29.0,41.0,37.0,25.0,45.0,22.0,55.0,51.0,45.0
B03110120,人工薄膜,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,4.0,16.0,14.0
B03600101,紙洞巾-外科覆蓋巾 含背膠,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
B03647700,紙治療巾,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,5.0
B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,6.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0
B08143445,紗布墊 4〞X4〞X8Ply,5.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0
B13500651,無菌手套 6.5 Fr有粉,4.0,1.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,10.0
B13500704,無菌手套 7.0 Fr有粉,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0
C00120168,二叉留置導尿管16FR,3.0,0.0,1.0,1.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0
C00120184,二叉留置導尿管18FR,1.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,4.0,4.0
C00123169,二叉矽質導尿管-16Fr,4.0,6.0,7.0,6.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0
C00123185,二叉矽質導尿管-18Fr,3.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
