料號,品名,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
A00120025,2.5-3cc PVC 注射空針,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
A00120033,2.5-3cc PVC 注射空針,707.0,772.0,832.0,752.0,746.0,763.0,633.0,690.0,652.0,709.0,808.0,887.0
A00120059,5cc塑膠注射空針,1.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A00120067,5cc 塑膠注射空針,199.0,183.0,149.0,159.0,224.0,233.0,179.0,174.0,161.0,226.0,178.0,158.0
A00120110,10cc塑膠注射空針 無螺紋,634.0,561.0,778.0,630.0,851.0,756.0,581.0,781.0,595.0,593.0,768.0,706.0
A00120213,20CC塑膠注射空針直插  (無螺紋),724.0,867.0,1387.0,1443.0,1171.0,1210.0,1205.0,1070.0,1169.0,1200.0,1255.0,1183.0
A00120308,塑膠注射器 30cc有螺,1.0,2.0,1.0,2.0,8.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0
A00120504,50cc塑膠注射空針-非螺紋,15.0,27.0,29.0,25.0,34.0,56.0,31.0,55.0,75.0,26.0,25.0,32.0
A00124417,血氣分析專用採血器 3 cc,26.0,28.0,25.0,19.0,23.0,40.0,25.0,23.0,38.0,18.0,25.0,15.0
A00421190,胰島素安全注射筒附針-30G,83.0,138.0,173.0,194.0,131.0,198.0,120.0,179.0,163.0,170.0,193.0,197.0
A01130509,塑膠灌食空針,28.0,35.0,52.0,58.0,44.0,52.0,67.0,24.0,37.0,43.0,39.0,50.0
A02120180,塑膠注射針頭,821.0,995.0,1730.0,1666.0,1475.0,1528.0,1402.0,1426.0,1453.0,1420.0,1564.0,1490.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,4.0,23.0,36.0,16.0,24.0,14.0,41.0,19.0,21.0,14.0,5.0,18.0
A02320160,靜脈留置針-16G,1.0,4.0,3.0,1.0,3.0,0.0,1.0,4.0,9.0,1.0,4.0,4.0
A02320186,靜脈留置針-18G,5.0,7.0,8.0,5.0,4.0,1.0,5.0,5.0,5.0,1.0,9.0,4.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,156.0,148.0,216.0,125.0,184.0,163.0,162.0,169.0,119.0,168.0,212.0,180.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,207.0,271.0,397.0,457.0,420.0,476.0,367.0,375.0,362.0,349.0,381.0,318.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,2.0,4.0,8.0,22.0,14.0,6.0,4.0,14.0,16.0,7.0,5.0,15.0
A03010033,PORT-A安全彎針附蝴蝶翼輸液套組20Gx1〞,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
A03295054,安全式注射筆專用針,137.0,188.0,247.0,207.0,186.0,157.0,131.0,117.0,171.0,273.0,161.0,85.0
A04030052,餵食引導器 (未滅菌),2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,5.0,0.0
A04119488,幫浦輸液套(含加藥筒),5.0,7.0,3.0,4.0,5.0,10.0,9.0,8.0,7.0,2.0,2.0,0.0
A04120306,幫浦輸液套(一般型),15.0,33.0,36.0,29.0,55.0,37.0,29.0,28.0,25.0,13.0,19.0,26.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,146.0,150.0,221.0,247.0,248.0,218.0,205.0,228.0,207.0,218.0,245.0,216.0
A04300023,急速輸血套附Y型管,42.0,50.0,45.0,66.0,58.0,32.0,46.0,48.0,53.0,65.0,49.0,70.0
A04411285,全拋式採血器,1903.0,1852.0,2209.0,2275.0,2103.0,2312.0,1971.0,2155.0,2039.0,1991.0,2080.0,1884.0
A04411370,胰島素筆型注射器針頭32G x 4mm,84.0,95.0,94.0,149.0,128.0,89.0,131.0,49.0,62.0,166.0,75.0,68.0
A04800036,靜脈輸液套，附Y加葯管,88.0,132.0,86.0,70.0,63.0,89.0,79.0,118.0,101.0,91.0,126.0,138.0
A12101002,骨髓穿刺針,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0
B00204053,彈性繃帶-非滅菌,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0
B00206057,彈性繃帶-非滅菌,2.0,0.0,5.0,4.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,2.0
