料號,品名,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
A00120017,1cc PVC注射空針 無螺紋,90.0,54.0,32.0,61.0,37.0,17.0,73.0,21.0,24.0,52.0,46.0,34.0
A00120025,2.5-3cc PVC 注射空針,2598.0,1677.0,1588.0,1838.0,1555.0,2597.0,1449.0,1911.0,1404.0,1820.0,1434.0,1339.0
A00120033,2.5-3cc PVC 注射空針,8.0,0.0,2.0,36.0,1.0,1.0,1.0,0.0,3.0,6.0,0.0,1.0
A00120059,5cc塑膠注射空針,1116.0,708.0,692.0,889.0,803.0,1368.0,775.0,1184.0,972.0,1422.0,1054.0,942.0
A00120067,5cc 塑膠注射空針,3.0,1.0,7.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0
A00120102,10cc塑膠注射空針 有螺紋,793.0,404.0,420.0,618.0,479.0,881.0,459.0,784.0,699.0,979.0,703.0,632.0
A00120110,10cc塑膠注射空針 無螺紋,4.0,4.0,1.0,3.0,4.0,5.0,0.0,8.0,0.0,4.0,5.0,1.0
A00120213,20CC塑膠注射空針直插  (無螺紋),1185.0,814.0,887.0,929.0,895.0,1226.0,758.0,1236.0,895.0,1160.0,859.0,956.0
A00120504,50cc塑膠注射空針-非螺紋,606.0,374.0,209.0,470.0,272.0,553.0,256.0,302.0,171.0,386.0,291.0,382.0
A00124417,血氣分析專用採血器 3 cc,319.0,231.0,190.0,199.0,190.0,256.0,181.0,196.0,149.0,191.0,160.0,199.0
A00421108,1cc 胰島素注射空針-31G,5.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
A00421174,BD滑蓋式胰島素安全注射筒附針,22.0,5.0,8.0,2.0,1.0,39.0,7.0,14.0,6.0,7.0,1.0,3.0
A00421190,胰島素安全注射筒附針-30G,284.0,89.0,114.0,75.0,44.0,307.0,126.0,161.0,57.0,175.0,22.0,92.0
A01130509,塑膠灌食空針,61.0,43.0,51.0,48.0,33.0,55.0,30.0,31.0,28.0,44.0,26.0,35.0
A02120180,塑膠注射針頭,34.0,19.0,26.0,20.0,33.0,25.0,24.0,17.0,0.0,0.0,0.0,0.0
A02120198,塑膠注射針頭,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,8.0,7.0,4.0,5.0,4.0,0.0,13.0,2.0,5.0,4.0,6.0,7.0
A02318314,〞美迪克〞安全性靜脈留置針,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,9.0,2.0
A02320160,靜脈留置針-16G,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0
A02320186,靜脈留置針-18G,2.0,1.0,2.0,0.0,2.0,8.0,3.0,3.0,1.0,4.0,5.0,2.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,193.0,237.0,239.0,182.0,191.0,132.0,186.0,218.0,142.0,211.0,197.0,268.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,80.0,97.0,82.0,54.0,53.0,34.0,54.0,80.0,84.0,87.0,77.0,63.0
A03295054,安全式注射筆專用針,46.0,32.0,38.0,25.0,8.0,34.0,45.0,56.0,14.0,73.0,35.0,17.0
A04030052,餵食引導器 (未滅菌),26.0,13.0,7.0,6.0,7.0,14.0,8.0,5.0,5.0,4.0,3.0,4.0
A04119488,幫浦輸液套(含加藥筒),23.0,12.0,7.0,5.0,8.0,17.0,7.0,18.0,5.0,9.0,9.0,12.0
A04120306,幫浦輸液套(一般型),47.0,27.0,35.0,43.0,45.0,53.0,42.0,54.0,24.0,22.0,33.0,27.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A04200020,精密控制輸液套附免針加藥座,94.0,75.0,69.0,85.0,75.0,93.0,69.0,88.0,56.0,85.0,72.0,55.0
A04200038,安全靜脈點滴輸液套(免針式),98.0,61.0,103.0,150.0,98.0,174.0,92.0,154.0,57.0,102.0,79.0,60.0
A04300023,急速輸血套附Y型管,71.0,54.0,62.0,74.0,92.0,57.0,43.0,75.0,45.0,80.0,62.0,39.0
A04411285,全拋式採血器,578.0,328.0,485.0,409.0,366.0,638.0,464.0,603.0,395.0,892.0,639.0,512.0
B00304056,彈性紗捲,1.0,4.0,1.0,7.0,7.0,1.0,2.0,9.0,0.0,3.0,1.0,3.0
B03106859,人工薄膜,276.0,278.0,258.0,250.0,249.0,255.0,242.0,264.0,162.0,282.0,229.0,243.0
B03110120,人工薄膜,77.0,29.0,39.0,103.0,125.0,99.0,58.0,120.0,55.0,131.0,61.0,34.0
B03215340,嬰幼兒專用膠帶,6.0,6.0,5.0,1.0,1.0,0.0,7.0,6.0,1.0,7.0,3.0,1.0
B03600101,紙洞巾-外科覆蓋巾 含背膠,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
B03647700,紙治療巾,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,0.0,2.0,1.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,3.0
B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,26.0,28.0,12.0,27.0,37.0,24.0,27.0,35.0,22.0,25.0,14.0,20.0
B05904451,看護墊,1.0,4.0,11.0,3.0,2.0,7.0,5.0,16.0,4.0,10.0,5.0,9.0
B08143445,紗布墊 4〞X4〞X8Ply,29.0,21.0,18.0,51.0,50.0,25.0,37.0,57.0,20.0,47.0,19.0,21.0
B08340408,Y型紗布-不織布,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
B08518181,滅菌腹部墊18x18〞(45x45cm),2.0,1.0,3.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0
B13500651,無菌手套 6.5 Fr有粉,21.0,1.0,1.0,1.0,12.0,0.0,11.0,6.0,3.0,2.0,4.0,3.0
B13500704,無菌手套 7.0 Fr有粉,6.0,7.0,10.0,15.0,7.0,18.0,7.0,4.0,18.0,10.0,3.0,18.0
B13500807,無菌手套 8.0 Fr有粉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00120142,二叉留置導尿管14FR,2.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0
C00120168,二叉留置導尿管16FR,33.0,23.0,21.0,28.0,31.0,36.0,23.0,30.0,24.0,32.0,29.0,23.0
C00120184,二叉留置導尿管18FR,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
C00120203,二叉留置導尿管20FR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00211075,橡皮導尿管1wayNo14美規,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
C00733218,抗感染安全尖端導管組,23.0,10.0,14.0,27.0,21.0,28.0,15.0,24.0,23.0,22.0,15.0,21.0
C02100500,密閉式抽痰套 12FR,13.0,9.0,2.0,3.0,4.0,8.0,3.0,5.0,2.0,0.0,3.0,1.0
C02113123,抽痰管，內含手控接頭,2321.0,1664.0,1393.0,1638.0,1731.0,1729.0,1802.0,1478.0,1042.0,1752.0,1313.0,1372.0
C02513167,鼻胃管16Fr  可顯影125cm,9.0,19.0,17.0,13.0,7.0,12.0,9.0,14.0,13.0,15.0,7.0,17.0
C02514164,矽質胃管  16FR,8.0,5.0,4.0,2.0,6.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0
C02514180,矽質胃管  18FR,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
C02723000,氧氣鼻管 O2雙管 2-Way,13.0,14.0,15.0,14.0,12.0,11.0,14.0,22.0,15.0,10.0,15.0,17.0
