,庫房,料號,品名,數量,週
43864,DLN5,B03106859,人工薄膜,74.0,1
2600,DLN5,B03106859,人工薄膜,95.0,2
2659,DLN5,B03106859,人工薄膜,67.0,3
2718,DLN5,B03106859,人工薄膜,67.0,4
6168,DLN5,B03106859,人工薄膜,37.0,5
6215,DLN5,B03106859,人工薄膜,53.0,6
6294,DLN5,B03106859,人工薄膜,85.0,7
6360,DLN5,B03106859,人工薄膜,80.0,8
10112,DLN5,B03106859,人工薄膜,69.0,9
10192,DLN5,B03106859,人工薄膜,94.0,10
10256,DLN5,B03106859,人工薄膜,78.0,11
10340,DLN5,B03106859,人工薄膜,109.0,12
10398,DLN5,B03106859,人工薄膜,67.0,13
13974,DLN5,B03106859,人工薄膜,54.0,14
14050,DLN5,B03106859,人工薄膜,93.0,15
14121,DLN5,B03106859,人工薄膜,79.0,16
14197,DLN5,B03106859,人工薄膜,87.0,17
17751,DLN5,B03106859,人工薄膜,73.0,18
17825,DLN5,B03106859,人工薄膜,90.0,19
17893,DLN5,B03106859,人工薄膜,85.0,20
17957,DLN5,B03106859,人工薄膜,75.0,21
21063,DLN5,B03106859,人工薄膜,66.0,22
21113,DLN5,B03106859,人工薄膜,59.0,23
21183,DLN5,B03106859,人工薄膜,81.0,24
21250,DLN5,B03106859,人工薄膜,75.0,25
21316,DLN5,B03106859,人工薄膜,78.0,26
24740,DLN5,B03106859,人工薄膜,94.0,27
24800,DLN5,B03106859,人工薄膜,67.0,28
24870,DLN5,B03106859,人工薄膜,82.0,29
24938,DLN5,B03106859,人工薄膜,76.0,30
28341,DLN5,B03106859,人工薄膜,67.0,31
28402,DLN5,B03106859,人工薄膜,73.0,32
28475,DLN5,B03106859,人工薄膜,84.0,33
28518,DLN5,B03106859,人工薄膜,52.0,34
32096,DLN5,B03106859,人工薄膜,61.0,35
32173,DLN5,B03106859,人工薄膜,86.0,36
32231,DLN5,B03106859,人工薄膜,65.0,37
32300,DLN5,B03106859,人工薄膜,80.0,38
32356,DLN5,B03106859,人工薄膜,64.0,39
35920,DLN5,B03106859,人工薄膜,70.0,40
35987,DLN5,B03106859,人工薄膜,75.0,41
36052,DLN5,B03106859,人工薄膜,76.0,42
36119,DLN5,B03106859,人工薄膜,85.0,43
39588,DLN5,B03106859,人工薄膜,86.0,44
39643,DLN5,B03106859,人工薄膜,66.0,45
39699,DLN5,B03106859,人工薄膜,68.0,46
39771,DLN5,B03106859,人工薄膜,83.0,47
43576,DLN5,B03106859,人工薄膜,82.0,48
43650,DLN5,B03106859,人工薄膜,89.0,49
43702,DLN5,B03106859,人工薄膜,64.0,50
43775,DLN5,B03106859,人工薄膜,84.0,51
43844,DLN5,B03106859,人工薄膜,84.0,52
