,庫房,料號,品名,數量,週
44335,DLN5,C13930399,T型連接管,66.0,1
3014,DLN5,C13930399,T型連接管,73.0,2
3063,DLN5,C13930399,T型連接管,52.0,3
3119,DLN5,C13930399,T型連接管,61.0,4
6633,DLN5,C13930399,T型連接管,30.0,5
6675,DLN5,C13930399,T型連接管,43.0,6
6752,DLN5,C13930399,T型連接管,83.0,7
6816,DLN5,C13930399,T型連接管,71.0,8
10620,DLN5,C13930399,T型連接管,55.0,9
10687,DLN5,C13930399,T型連接管,76.0,10
10748,DLN5,C13930399,T型連接管,68.0,11
10822,DLN5,C13930399,T型連接管,80.0,12
10872,DLN5,C13930399,T型連接管,53.0,13
14470,DLN5,C13930399,T型連接管,45.0,14
14534,DLN5,C13930399,T型連接管,70.0,15
14600,DLN5,C13930399,T型連接管,68.0,16
14671,DLN5,C13930399,T型連接管,74.0,17
18206,DLN5,C13930399,T型連接管,61.0,18
18275,DLN5,C13930399,T型連接管,78.0,19
18335,DLN5,C13930399,T型連接管,69.0,20
18395,DLN5,C13930399,T型連接管,63.0,21
21485,DLN5,C13930399,T型連接管,48.0,22
21529,DLN5,C13930399,T型連接管,49.0,23
21588,DLN5,C13930399,T型連接管,65.0,24
21648,DLN5,C13930399,T型連接管,67.0,25
21705,DLN5,C13930399,T型連接管,63.0,26
25172,DLN5,C13930399,T型連接管,72.0,27
25227,DLN5,C13930399,T型連接管,60.0,28
25286,DLN5,C13930399,T型連接管,62.0,29
25351,DLN5,C13930399,T型連接管,67.0,30
28773,DLN5,C13930399,T型連接管,55.0,31
28829,DLN5,C13930399,T型連接管,63.0,32
28889,DLN5,C13930399,T型連接管,65.0,33
28925,DLN5,C13930399,T型連接管,36.0,34
32506,DLN5,C13930399,T型連接管,54.0,35
32575,DLN5,C13930399,T型連接管,75.0,36
32628,DLN5,C13930399,T型連接管,57.0,37
32691,DLN5,C13930399,T型連接管,69.0,38
32743,DLN5,C13930399,T型連接管,56.0,39
36367,DLN5,C13930399,T型連接管,63.0,40
36427,DLN5,C13930399,T型連接管,64.0,41
36486,DLN5,C13930399,T型連接管,65.0,42
36542,DLN5,C13930399,T型連接管,67.0,43
40042,DLN5,C13930399,T型連接管,54.0,44
40093,DLN5,C13930399,T型連接管,59.0,45
40140,DLN5,C13930399,T型連接管,55.0,46
40205,DLN5,C13930399,T型連接管,70.0,47
44080,DLN5,C13930399,T型連接管,67.0,48
44141,DLN5,C13930399,T型連接管,69.0,49
44190,DLN5,C13930399,T型連接管,52.0,50
44256,DLN5,C13930399,T型連接管,74.0,51
44314,DLN5,C13930399,T型連接管,67.0,52
