,庫房,料號,品名,數量,週
514,DLN5,A00120110,10cc塑膠注射空針 無螺紋,94.0,1
600,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,2
677,DLN5,A00120110,10cc塑膠注射空針 無螺紋,113.0,3
700,DLN5,A00120110,10cc塑膠注射空針 無螺紋,33.0,4
2807,DLN5,A00120110,10cc塑膠注射空針 無螺紋,24.0,5
2914,DLN5,A00120110,10cc塑膠注射空針 無螺紋,184.0,6
3018,DLN5,A00120110,10cc塑膠注射空針 無螺紋,179.0,7
3124,DLN5,A00120110,10cc塑膠注射空針 無螺紋,170.0,8
6545,DLN5,A00120110,10cc塑膠注射空針 無螺紋,148.0,9
6634,DLN5,A00120110,10cc塑膠注射空針 無螺紋,133.0,10
6724,DLN5,A00120110,10cc塑膠注射空針 無螺紋,144.0,11
6818,DLN5,A00120110,10cc塑膠注射空針 無螺紋,130.0,12
6960,DLN5,A00120110,10cc塑膠注射空針 無螺紋,230.0,13
11694,DLN5,A00120110,10cc塑膠注射空針 無螺紋,235.0,14
11823,DLN5,A00120110,10cc塑膠注射空針 無螺紋,210.0,15
11961,DLN5,A00120110,10cc塑膠注射空針 無螺紋,235.0,16
12107,DLN5,A00120110,10cc塑膠注射空針 無螺紋,243.0,17
17445,DLN5,A00120110,10cc塑膠注射空針 無螺紋,223.0,18
17595,DLN5,A00120110,10cc塑膠注射空針 無螺紋,261.0,19
17749,DLN5,A00120110,10cc塑膠注射空針 無螺紋,278.0,20
17843,DLN5,A00120110,10cc塑膠注射空針 無螺紋,201.0,21
17964,DLN5,A00120110,10cc塑膠注射空針 無螺紋,216.0,22
22160,DLN5,A00120110,10cc塑膠注射空針 無螺紋,180.0,23
22289,DLN5,A00120110,10cc塑膠注射空針 無螺紋,216.0,24
22451,DLN5,A00120110,10cc塑膠注射空針 無螺紋,324.0,25
22581,DLN5,A00120110,10cc塑膠注射空針 無螺紋,253.0,26
26825,DLN5,A00120110,10cc塑膠注射空針 無螺紋,235.0,27
26963,DLN5,A00120110,10cc塑膠注射空針 無螺紋,260.0,28
27074,DLN5,A00120110,10cc塑膠注射空針 無螺紋,184.0,29
27203,DLN5,A00120110,10cc塑膠注射空針 無螺紋,206.0,30
31542,DLN5,A00120110,10cc塑膠注射空針 無螺紋,204.0,31
31680,DLN5,A00120110,10cc塑膠注射空針 無螺紋,259.0,32
31835,DLN5,A00120110,10cc塑膠注射空針 無螺紋,270.0,33
31938,DLN5,A00120110,10cc塑膠注射空針 無螺紋,183.0,34
32078,DLN5,A00120110,10cc塑膠注射空針 無螺紋,243.0,35
36505,DLN5,A00120110,10cc塑膠注射空針 無螺紋,281.0,36
36625,DLN5,A00120110,10cc塑膠注射空針 無螺紋,244.0,37
36756,DLN5,A00120110,10cc塑膠注射空針 無螺紋,239.0,38
36879,DLN5,A00120110,10cc塑膠注射空針 無螺紋,190.0,39
41106,DLN5,A00120110,10cc塑膠注射空針 無螺紋,123.0,40
41171,DLN5,A00120110,10cc塑膠注射空針 無螺紋,99.0,41
41309,DLN5,A00120110,10cc塑膠注射空針 無螺紋,234.0,42
41425,DLN5,A00120110,10cc塑膠注射空針 無螺紋,194.0,43
46505,DLN5,A00120110,10cc塑膠注射空針 無螺紋,207.0,44
46620,DLN5,A00120110,10cc塑膠注射空針 無螺紋,205.0,45
46708,DLN5,A00120110,10cc塑膠注射空針 無螺紋,146.0,46
46836,DLN5,A00120110,10cc塑膠注射空針 無螺紋,241.0,47
46948,DLN5,A00120110,10cc塑膠注射空針 無螺紋,168.0,48
51416,DLN5,A00120110,10cc塑膠注射空針 無螺紋,212.0,49
51489,DLN5,A00120110,10cc塑膠注射空針 無螺紋,113.0,50
51561,DLN5,A00120110,10cc塑膠注射空針 無螺紋,131.0,51
51644,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,52
