,庫房,料號,品名,數量,週
928,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,11.0,1
942,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,21.0,2
958,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,25.0,3
963,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,5.0,4
3588,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,5.0,5
3624,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,58.0,6
3645,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,37.0,7
3668,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,33.0,8
7672,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,28.0,9
7697,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,44.0,10
7727,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,56.0,11
7756,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,66.0,12
7816,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,99.0,13
13030,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,47.0,14
13062,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,54.0,15
13113,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,79.0,16
13164,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,76.0,17
18540,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,61.0,18
18579,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,57.0,19
18616,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,62.0,20
18639,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,33.0,21
18663,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,38.0,22
23220,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,17.0,23
23248,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,43.0,24
23289,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,56.0,25
23321,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,47.0,26
27867,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,59.0,27
27904,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,62.0,28
27917,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,16.0,29
27942,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,45.0,30
32694,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,29.0,31
32725,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,42.0,32
32756,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,42.0,33
32785,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,40.0,34
32829,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,69.0,35
37466,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,63.0,36
37492,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,43.0,37
37524,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,50.0,38
37552,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,42.0,39
42069,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,36.0,40
42091,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,42.0,41
42127,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,61.0,42
42150,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,39.0,43
47396,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,28.0,44
47414,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,23.0,45
47441,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,40.0,46
47484,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,69.0,47
47512,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,47.0,48
52190,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,65.0,49
52208,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,48.0,50
52229,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,36.0,51
52251,DLN5,A02322259,〞美迪克〞安全性靜脈留置針  22G,32.0,52
