,庫房,料號,品名,數量,週
1426,DLN5,B03106859,人工薄膜,36.0,1
1466,DLN5,B03106859,人工薄膜,46.0,2
1519,DLN5,B03106859,人工薄膜,60.0,3
1530,DLN5,B03106859,人工薄膜,12.0,4
4444,DLN5,B03106859,人工薄膜,13.0,5
4520,DLN5,B03106859,人工薄膜,87.0,6
4588,DLN5,B03106859,人工薄膜,74.0,7
4661,DLN5,B03106859,人工薄膜,86.0,8
8931,DLN5,B03106859,人工薄膜,56.0,9
8993,DLN5,B03106859,人工薄膜,69.0,10
9066,DLN5,B03106859,人工薄膜,85.0,11
9136,DLN5,B03106859,人工薄膜,79.0,12
9226,DLN5,B03106859,人工薄膜,111.0,13
14606,DLN5,B03106859,人工薄膜,73.0,14
14684,DLN5,B03106859,人工薄膜,92.0,15
14774,DLN5,B03106859,人工薄膜,113.0,16
14853,DLN5,B03106859,人工薄膜,90.0,17
19718,DLN5,B03106859,人工薄膜,97.0,18
19787,DLN5,B03106859,人工薄膜,98.0,19
19870,DLN5,B03106859,人工薄膜,148.0,20
19936,DLN5,B03106859,人工薄膜,98.0,21
19995,DLN5,B03106859,人工薄膜,87.0,22
24382,DLN5,B03106859,人工薄膜,73.0,23
24462,DLN5,B03106859,人工薄膜,93.0,24
24542,DLN5,B03106859,人工薄膜,92.0,25
24611,DLN5,B03106859,人工薄膜,80.0,26
29057,DLN5,B03106859,人工薄膜,93.0,27
29140,DLN5,B03106859,人工薄膜,96.0,28
29207,DLN5,B03106859,人工薄膜,80.0,29
29269,DLN5,B03106859,人工薄膜,76.0,30
33915,DLN5,B03106859,人工薄膜,74.0,31
33991,DLN5,B03106859,人工薄膜,84.0,32
34086,DLN5,B03106859,人工薄膜,119.0,33
34151,DLN5,B03106859,人工薄膜,77.0,34
34234,DLN5,B03106859,人工薄膜,100.0,35
38737,DLN5,B03106859,人工薄膜,96.0,36
38794,DLN5,B03106859,人工薄膜,62.0,37
38867,DLN5,B03106859,人工薄膜,81.0,38
38954,DLN5,B03106859,人工薄膜,101.0,39
43631,DLN5,B03106859,人工薄膜,77.0,40
43694,DLN5,B03106859,人工薄膜,68.0,41
43777,DLN5,B03106859,人工薄膜,96.0,42
43847,DLN5,B03106859,人工薄膜,78.0,43
48759,DLN5,B03106859,人工薄膜,89.0,44
48831,DLN5,B03106859,人工薄膜,83.0,45
48897,DLN5,B03106859,人工薄膜,70.0,46
48986,DLN5,B03106859,人工薄膜,110.0,47
49052,DLN5,B03106859,人工薄膜,77.0,48
53715,DLN5,B03106859,人工薄膜,79.0,49
53765,DLN5,B03106859,人工薄膜,66.0,50
53825,DLN5,B03106859,人工薄膜,72.0,51
53891,DLN5,B03106859,人工薄膜,79.0,52
