,庫房,料號,品名,數量,週
5159,DLN5,K80004044,Push Button Blood Collection,36.0,1
5190,DLN5,K80004044,Push Button Blood Collection,37.0,2
5220,DLN5,K80004044,Push Button Blood Collection,38.0,3
5236,DLN5,K80004044,Push Button Blood Collection,35.0,4
8834,DLN5,K80004044,Push Button Blood Collection,39.0,5
8839,DLN5,K80004044,Push Button Blood Collection,8.0,6
8864,DLN5,K80004044,Push Button Blood Collection,28.0,7
8894,DLN5,K80004044,Push Button Blood Collection,37.0,8
13640,DLN5,K80004044,Push Button Blood Collection,35.0,9
13665,DLN5,K80004044,Push Button Blood Collection,27.0,10
13693,DLN5,K80004044,Push Button Blood Collection,32.0,11
13723,DLN5,K80004044,Push Button Blood Collection,41.0,12
17763,DLN5,K80004044,Push Button Blood Collection,25.0,13
17788,DLN5,K80004044,Push Button Blood Collection,27.0,14
17809,DLN5,K80004044,Push Button Blood Collection,24.0,15
17831,DLN5,K80004044,Push Button Blood Collection,25.0,16
22024,DLN5,K80004044,Push Button Blood Collection,28.0,17
22046,DLN5,K80004044,Push Button Blood Collection,28.0,18
22064,DLN5,K80004044,Push Button Blood Collection,22.0,19
22090,DLN5,K80004044,Push Button Blood Collection,36.0,20
22124,DLN5,K80004044,Push Button Blood Collection,41.0,21
26565,DLN5,K80004044,Push Button Blood Collection,43.0,22
26590,DLN5,K80004044,Push Button Blood Collection,34.0,23
26662,DLN5,K80004044,Push Button Blood Collection,37.0,24
26647,DLN5,K80004044,Push Button Blood Collection,44.0,25
31296,DLN5,K80004044,Push Button Blood Collection,48.0,26
31338,DLN5,K80004044,Push Button Blood Collection,50.0,27
31377,DLN5,K80004044,Push Button Blood Collection,53.0,28
31404,DLN5,K80004044,Push Button Blood Collection,32.0,29
35474,DLN5,K80004044,Push Button Blood Collection,33.0,30
35492,DLN5,K80004044,Push Button Blood Collection,18.0,31
35506,DLN5,K80004044,Push Button Blood Collection,15.0,32
35538,DLN5,K80004044,Push Button Blood Collection,32.0,33
35563,DLN5,K80004044,Push Button Blood Collection,29.0,34
40460,DLN5,K80004044,Push Button Blood Collection,53.0,35
40501,DLN5,K80004044,Push Button Blood Collection,54.0,36
40532,DLN5,K80004044,Push Button Blood Collection,37.0,37
40558,DLN5,K80004044,Push Button Blood Collection,31.0,38
44424,DLN5,K80004044,Push Button Blood Collection,48.0,39
44452,DLN5,K80004044,Push Button Blood Collection,30.0,40
44474,DLN5,K80004044,Push Button Blood Collection,25.0,41
44498,DLN5,K80004044,Push Button Blood Collection,27.0,42
44537,DLN5,K80004044,Push Button Blood Collection,42.0,43
48492,DLN5,K80004044,Push Button Blood Collection,38.0,44
48513,DLN5,K80004044,Push Button Blood Collection,24.0,45
48540,DLN5,K80004044,Push Button Blood Collection,37.0,46
48556,DLN5,K80004044,Push Button Blood Collection,17.0,47
53044,DLN5,K80004044,Push Button Blood Collection,45.0,48
53061,DLN5,K80004044,Push Button Blood Collection,21.0,49
53093,DLN5,K80004044,Push Button Blood Collection,36.0,50
53129,DLN5,K80004044,Push Button Blood Collection,51.0,51
53146,DLN5,K80004044,Push Button Blood Collection,20.0,52
