,庫房,料號,品名,數量,帳務日期,週,工作日
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,1,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,2,True
11,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,2021-01-21,3,True
308,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-01-31,4,False
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,5,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,6,True
309,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2021-02-17,7,False
310,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-02-22,8,True
518,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-03-05,9,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,10,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,11,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,12,True
756,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,9.0,2021-04-04,13,False
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,14,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,15,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,16,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,17,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,18,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,19,True
1000,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-05-19,20,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,21,True
1226,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,13.0,2021-06-05,22,False
1228,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,5.0,2021-06-10,23,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,24,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,25,True
1452,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2021-07-04,26,False
1453,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-07-11,27,False
1454,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-07-15,28,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,29,True
1456,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2021-07-30,30,True
1713,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2021-08-05,31,True
1714,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-08-11,32,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,33,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,34,True
1998,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2021-09-03,35,True
2000,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2021-09-10,36,True
2002,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-09-15,37,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,38,True
2003,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-09-27,39,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,40,True
2320,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-10-12,41,True
2324,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,8.0,2021-10-24,42,False
2327,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-10-29,43,True
2567,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,2021-11-04,44,True
2568,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-11-12,45,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,46,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,0.0,2021-01-19,47,True
2821,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,2021-12-03,48,True
2822,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2021-12-06,49,True
2823,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2021-12-18,50,False
2826,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,2021-12-24,51,True
2827,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-12-29,52,True
