,庫房,料號,品名,數量,帳務日期,週,工作日
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,1,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,2,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,3,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,4,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,5,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,6,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,7,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,8,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,9,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,10,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,11,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,12,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,13,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,14,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,15,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,16,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,17,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,18,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,19,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,20,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,21,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,22,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,23,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,24,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,25,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,26,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,27,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,28,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,29,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,30,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,31,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2021-08-10,32,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,33,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,34,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,35,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,36,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,37,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,38,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,39,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,40,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,41,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,42,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,43,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,44,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,45,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,46,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,47,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,48,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,49,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,50,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,51,True
1809,DLN3,B08143445,紗布墊 4〞X4〞X8Ply,0.0,2021-08-10,52,True
