,庫房,料號,品名,數量,帳務日期,週,工作日
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,1,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,2,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,3,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,4,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,5,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,6,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,7,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,8,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,9,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,10,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,11,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,12,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,13,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,14,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,15,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,16,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,17,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,18,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,19,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,20,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,21,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,22,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,23,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,24,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,25,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,26,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,27,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,28,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,29,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,30,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,31,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,32,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,33,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,34,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,35,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,36,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,37,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,38,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,39,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,40,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,41,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,1.0,2021-10-24,42,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,43,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,44,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,45,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,46,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,47,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,48,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,49,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,50,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,51,False
2415,DLN3,C02113149,抽痰管，內含手控接頭,0.0,2021-10-24,52,False
