,庫房,料號,品名,數量,帳務日期,週,工作日
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,1,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,2,False
140,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-01-23,3,False
141,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-01-28,4,True
385,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-02-01,5,True
390,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-02-14,6,False
396,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-02-19,7,True
395,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-02-25,8,True
597,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-03-07,9,False
599,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-03-13,10,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,11,False
600,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-03-23,12,True
847,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-04-04,13,False
850,DLN3,C13931431,安全注射器回拉式3ml,3.0,2021-04-08,14,True
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,15,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,16,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,17,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,18,False
1080,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-05-14,19,True
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,20,False
1082,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-05-28,21,True
1311,DLN3,C13931431,安全注射器回拉式3ml,9.0,2021-06-06,22,False
1316,DLN3,C13931431,安全注射器回拉式3ml,8.0,2021-06-13,23,False
1319,DLN3,C13931431,安全注射器回拉式3ml,3.0,2021-06-19,24,False
1323,DLN3,C13931431,安全注射器回拉式3ml,10.0,2021-06-27,25,False
1555,DLN3,C13931431,安全注射器回拉式3ml,8.0,2021-07-04,26,False
1559,DLN3,C13931431,安全注射器回拉式3ml,6.0,2021-07-11,27,False
1561,DLN3,C13931431,安全注射器回拉式3ml,4.0,2021-07-18,28,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,29,False
1822,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-08-01,30,False
1826,DLN3,C13931431,安全注射器回拉式3ml,4.0,2021-08-05,31,True
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,32,False
1831,DLN3,C13931431,安全注射器回拉式3ml,8.0,2021-08-19,33,True
1832,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-08-27,34,True
2148,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-09-03,35,True
2150,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-09-11,36,False
2152,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-09-15,37,True
2153,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-09-25,38,False
2426,DLN3,C13931431,安全注射器回拉式3ml,3.0,2021-10-01,39,False
2427,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-10-04,40,False
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,41,False
2428,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-10-23,42,False
2434,DLN3,C13931431,安全注射器回拉式3ml,8.0,2021-10-31,43,False
2643,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-11-05,44,True
2644,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-11-12,45,True
2646,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-11-19,46,True
2647,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-11-24,47,True
2949,DLN3,C13931431,安全注射器回拉式3ml,2.0,2021-12-02,48,True
139,DLN3,C13931431,安全注射器回拉式3ml,0.0,2021-01-01,49,False
2950,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-12-18,50,False
2952,DLN3,C13931431,安全注射器回拉式3ml,5.0,2021-12-26,51,False
2953,DLN3,C13931431,安全注射器回拉式3ml,1.0,2021-12-29,52,True
