,庫房,料號,品名,數量,週,工作日,帳務日期
249,DLN3,K80004044,Push Button Blood Collection,22.0,1,False,2021-01-09
265,DLN3,K80004044,Push Button Blood Collection,16.0,2,False,2021-01-16
278,DLN3,K80004044,Push Button Blood Collection,14.0,3,True,2021-01-22
452,DLN3,K80004044,Push Button Blood Collection,18.0,4,False,2021-01-31
470,DLN3,K80004044,Push Button Blood Collection,20.0,5,True,2021-02-05
476,DLN3,K80004044,Push Button Blood Collection,6.0,6,False,2021-02-13
493,DLN3,K80004044,Push Button Blood Collection,27.0,7,True,2021-02-20
507,DLN3,K80004044,Push Button Blood Collection,14.0,8,True,2021-02-26
664,DLN3,K80004044,Push Button Blood Collection,20.0,9,False,2021-03-06
679,DLN3,K80004044,Push Button Blood Collection,20.0,10,False,2021-03-13
700,DLN3,K80004044,Push Button Blood Collection,26.0,11,True,2021-03-19
718,DLN3,K80004044,Push Button Blood Collection,18.0,12,False,2021-03-27
917,DLN3,K80004044,Push Button Blood Collection,24.0,13,True,2021-04-01
934,DLN3,K80004044,Push Button Blood Collection,22.0,14,True,2021-04-06
948,DLN3,K80004044,Push Button Blood Collection,14.0,15,True,2021-04-15
966,DLN3,K80004044,Push Button Blood Collection,21.0,16,False,2021-04-24
986,DLN3,K80004044,Push Button Blood Collection,32.0,17,True,2021-04-30
1159,DLN3,K80004044,Push Button Blood Collection,18.0,18,True,2021-05-08
1177,DLN3,K80004044,Push Button Blood Collection,22.0,19,False,2021-05-16
1187,DLN3,K80004044,Push Button Blood Collection,12.0,20,True,2021-05-20
1200,DLN3,K80004044,Push Button Blood Collection,20.0,21,True,2021-05-28
1385,DLN3,K80004044,Push Button Blood Collection,6.0,22,True,2021-06-03
1399,DLN3,K80004044,Push Button Blood Collection,23.0,23,True,2021-06-10
1411,DLN3,K80004044,Push Button Blood Collection,13.0,24,False,2021-06-20
1424,DLN3,K80004044,Push Button Blood Collection,22.0,25,True,2021-06-23
1639,DLN3,K80004044,Push Button Blood Collection,15.0,26,False,2021-07-04
1648,DLN3,K80004044,Push Button Blood Collection,11.0,27,False,2021-07-11
1657,DLN3,K80004044,Push Button Blood Collection,21.0,28,False,2021-07-18
1670,DLN3,K80004044,Push Button Blood Collection,15.0,29,False,2021-07-24
1690,DLN3,K80004044,Push Button Blood Collection,22.0,30,True,2021-07-30
1912,DLN3,K80004044,Push Button Blood Collection,18.0,31,False,2021-08-08
1927,DLN3,K80004044,Push Button Blood Collection,21.0,32,True,2021-08-13
1937,DLN3,K80004044,Push Button Blood Collection,10.0,33,True,2021-08-20
1951,DLN3,K80004044,Push Button Blood Collection,16.0,34,True,2021-08-27
2250,DLN3,K80004044,Push Button Blood Collection,14.0,35,True,2021-09-03
2261,DLN3,K80004044,Push Button Blood Collection,11.0,36,True,2021-09-10
2275,DLN3,K80004044,Push Button Blood Collection,15.0,37,True,2021-09-18
2281,DLN3,K80004044,Push Button Blood Collection,7.0,38,True,2021-09-22
2293,DLN3,K80004044,Push Button Blood Collection,12.0,39,True,2021-09-28
2509,DLN3,K80004044,Push Button Blood Collection,14.0,40,False,2021-10-10
2519,DLN3,K80004044,Push Button Blood Collection,13.0,41,False,2021-10-16
2538,DLN3,K80004044,Push Button Blood Collection,41.0,42,False,2021-10-24
2544,DLN3,K80004044,Push Button Blood Collection,8.0,43,True,2021-10-28
2712,DLN3,K80004044,Push Button Blood Collection,24.0,44,True,2021-11-04
2723,DLN3,K80004044,Push Button Blood Collection,16.0,45,True,2021-11-11
2729,DLN3,K80004044,Push Button Blood Collection,10.0,46,False,2021-11-20
2746,DLN3,K80004044,Push Button Blood Collection,20.0,47,True,2021-11-26
3042,DLN3,K80004044,Push Button Blood Collection,18.0,48,True,2021-12-02
3054,DLN3,K80004044,Push Button Blood Collection,14.0,49,True,2021-12-07
3072,DLN3,K80004044,Push Button Blood Collection,20.0,50,False,2021-12-18
3092,DLN3,K80004044,Push Button Blood Collection,25.0,51,False,2021-12-25
3109,DLN3,K80004044,Push Button Blood Collection,18.0,52,True,2021-12-29
