,庫房,料號,品名,數量,帳務日期,週,工作日
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,1,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,2,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,3,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,4,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,5,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,6,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,7,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,8,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,9,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,10,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,11,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,12,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,13,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,14,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,15,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,16,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,17,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,18,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,19,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,20,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,21,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,22,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,23,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,24,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,25,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,26,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,27,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,28,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,29,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,30,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,31,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,32,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,33,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,34,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,35,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,36,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,37,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,38,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,39,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,40,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,41,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,42,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,43,True
2763,DLN3,T01101016,氧氣口罩成人含接管,1.0,2021-11-03,44,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,45,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,46,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,47,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,48,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,49,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,50,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,51,True
2763,DLN3,T01101016,氧氣口罩成人含接管,0.0,2021-11-03,52,True
