,庫房,料號,品名,數量,帳務日期,週,工作日
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,1,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,2,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,3,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,4,False
508,DLN3,U91700000,丟棄式導尿包,1.0,2021-02-04,5,True
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,6,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,7,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,8,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,9,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,10,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,11,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,12,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,13,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,14,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,15,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,16,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,17,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,18,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,19,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,20,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,21,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,22,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,23,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,24,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,25,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,26,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,27,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,28,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,29,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,30,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,31,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,32,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,33,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,34,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,35,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,36,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,37,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,38,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,39,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,40,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,41,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,42,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,43,False
2766,DLN3,U91700000,丟棄式導尿包,1.0,2021-11-01,44,True
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,45,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,46,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,47,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,48,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,49,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,50,False
293,DLN3,U91700000,丟棄式導尿包,0.0,2021-01-02,51,False
3110,DLN3,U91700000,丟棄式導尿包,1.0,2021-12-30,52,True
