,庫房,料號,品名,數量,帳務日期,週,工作日
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,1,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-01-12,2,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,3,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,4,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,5,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,6,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,7,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,8,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,9,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,10,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,11,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,12,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,13,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,14,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,15,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,16,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,17,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,18,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,19,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,20,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,21,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,22,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,23,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,24,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,25,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,26,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,27,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,28,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,29,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,30,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,31,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,32,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,33,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,34,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,35,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,36,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,37,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,38,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,39,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,40,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,41,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,42,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,43,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,44,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,45,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,46,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,47,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,48,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,49,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,50,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,51,True
294,DLN3,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-01-12,52,True
