,庫房,料號,品名,數量,帳務日期,週,工作日
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,1,True
15,DLN2,B03106859,人工薄膜,1.0,2021-01-12,2,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,3,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,4,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,5,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,6,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,7,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,8,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,9,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,10,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,11,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,12,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,13,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,14,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,15,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,16,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,17,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,18,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,19,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,20,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,21,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,22,True
382,DLN2,B03106859,人工薄膜,1.0,2021-06-09,23,True
383,DLN2,B03106859,人工薄膜,1.0,2021-06-20,24,False
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,25,True
496,DLN2,B03106859,人工薄膜,1.0,2021-07-03,26,False
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,27,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,28,True
497,DLN2,B03106859,人工薄膜,1.0,2021-07-23,29,True
498,DLN2,B03106859,人工薄膜,1.0,2021-07-26,30,True
602,DLN2,B03106859,人工薄膜,2.0,2021-08-02,31,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,32,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,33,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,34,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,35,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,36,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,37,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,38,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,39,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,40,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,41,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,42,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,43,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,44,True
852,DLN2,B03106859,人工薄膜,1.0,2021-11-11,45,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,46,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,47,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,48,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,49,True
921,DLN2,B03106859,人工薄膜,2.0,2021-12-17,50,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,51,True
15,DLN2,B03106859,人工薄膜,0.0,2021-01-12,52,True
