,庫房,料號,品名,數量,帳務日期,週,工作日
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,1,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,2,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,3,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,4,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,5,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,6,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,7,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,8,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,9,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,10,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,11,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,12,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,13,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,14,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,15,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,16,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,17,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,18,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,19,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,20,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,21,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,22,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,23,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,24,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,25,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,26,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,27,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,28,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,29,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,30,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,31,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,32,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,33,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,34,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,35,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,36,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,37,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,38,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,39,False
796,DLN2,I20100104,心電圖電極貼片,3.0,2021-10-10,40,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,41,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,42,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,43,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,44,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,45,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,46,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,47,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,48,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,49,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,50,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,51,False
796,DLN2,I20100104,心電圖電極貼片,0.0,2021-10-10,52,False
