,庫房,料號,品名,數量,週,工作日,帳務日期
31,DLN2,K80004044,Push Button Blood Collection,1.0,1,True,2021-01-04
32,DLN2,K80004044,Push Button Blood Collection,1.0,2,True,2021-01-11
33,DLN2,K80004044,Push Button Blood Collection,2.0,3,True,2021-01-18
31,DLN2,K80004044,Push Button Blood Collection,0.0,4,True,2021-01-04
89,DLN2,K80004044,Push Button Blood Collection,2.0,5,True,2021-02-01
90,DLN2,K80004044,Push Button Blood Collection,1.0,6,True,2021-02-09
95,DLN2,K80004044,Push Button Blood Collection,7.0,7,False,2021-02-15
31,DLN2,K80004044,Push Button Blood Collection,0.0,8,True,2021-01-04
161,DLN2,K80004044,Push Button Blood Collection,3.0,9,True,2021-03-01
31,DLN2,K80004044,Push Button Blood Collection,0.0,10,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,11,True,2021-01-04
162,DLN2,K80004044,Push Button Blood Collection,1.0,12,True,2021-03-22
31,DLN2,K80004044,Push Button Blood Collection,0.0,13,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,14,True,2021-01-04
221,DLN2,K80004044,Push Button Blood Collection,5.0,15,True,2021-04-15
222,DLN2,K80004044,Push Button Blood Collection,1.0,16,True,2021-04-19
228,DLN2,K80004044,Push Button Blood Collection,6.0,17,True,2021-04-26
322,DLN2,K80004044,Push Button Blood Collection,13.0,18,False,2021-05-03
325,DLN2,K80004044,Push Button Blood Collection,4.0,19,False,2021-05-15
329,DLN2,K80004044,Push Button Blood Collection,8.0,20,True,2021-05-17
330,DLN2,K80004044,Push Button Blood Collection,1.0,21,True,2021-05-27
331,DLN2,K80004044,Push Button Blood Collection,1.0,22,True,2021-05-31
31,DLN2,K80004044,Push Button Blood Collection,0.0,23,True,2021-01-04
434,DLN2,K80004044,Push Button Blood Collection,2.0,24,True,2021-06-17
439,DLN2,K80004044,Push Button Blood Collection,5.0,25,True,2021-06-25
31,DLN2,K80004044,Push Button Blood Collection,0.0,26,True,2021-01-04
557,DLN2,K80004044,Push Button Blood Collection,8.0,27,True,2021-07-05
558,DLN2,K80004044,Push Button Blood Collection,1.0,28,True,2021-07-12
564,DLN2,K80004044,Push Button Blood Collection,6.0,29,True,2021-07-19
31,DLN2,K80004044,Push Button Blood Collection,0.0,30,True,2021-01-04
623,DLN2,K80004044,Push Button Blood Collection,19.0,31,True,2021-08-03
31,DLN2,K80004044,Push Button Blood Collection,0.0,32,True,2021-01-04
624,DLN2,K80004044,Push Button Blood Collection,1.0,33,True,2021-08-16
31,DLN2,K80004044,Push Button Blood Collection,0.0,34,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,35,True,2021-01-04
693,DLN2,K80004044,Push Button Blood Collection,16.0,36,True,2021-09-06
698,DLN2,K80004044,Push Button Blood Collection,5.0,37,True,2021-09-13
31,DLN2,K80004044,Push Button Blood Collection,0.0,38,True,2021-01-04
704,DLN2,K80004044,Push Button Blood Collection,7.0,39,True,2021-09-27
31,DLN2,K80004044,Push Button Blood Collection,0.0,40,True,2021-01-04
803,DLN2,K80004044,Push Button Blood Collection,9.0,41,True,2021-10-15
805,DLN2,K80004044,Push Button Blood Collection,2.0,42,True,2021-10-21
31,DLN2,K80004044,Push Button Blood Collection,0.0,43,True,2021-01-04
872,DLN2,K80004044,Push Button Blood Collection,2.0,44,True,2021-11-03
874,DLN2,K80004044,Push Button Blood Collection,8.0,45,True,2021-11-12
31,DLN2,K80004044,Push Button Blood Collection,0.0,46,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,47,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,48,True,2021-01-04
31,DLN2,K80004044,Push Button Blood Collection,0.0,49,True,2021-01-04
941,DLN2,K80004044,Push Button Blood Collection,2.0,50,True,2021-12-17
942,DLN2,K80004044,Push Button Blood Collection,2.0,51,True,2021-12-20
943,DLN2,K80004044,Push Button Blood Collection,1.0,52,True,2021-12-27
