,庫房,料號,品名,數量,週,工作日,帳務日期
3361,DLN5,B00204053,彈性繃帶-非滅菌,1.0,1,True,2021-01-04
3362,DLN5,B00204053,彈性繃帶-非滅菌,1.0,2,True,2021-01-11
3367,DLN5,B00204053,彈性繃帶-非滅菌,5.0,3,False,2021-01-24
3374,DLN5,B00204053,彈性繃帶-非滅菌,9.0,4,False,2021-01-30
7533,DLN5,B00204053,彈性繃帶-非滅菌,1.0,5,False,2021-02-06
7534,DLN5,B00204053,彈性繃帶-非滅菌,1.0,6,True,2021-02-08
7538,DLN5,B00204053,彈性繃帶-非滅菌,5.0,7,False,2021-02-21
7542,DLN5,B00204053,彈性繃帶-非滅菌,4.0,8,False,2021-02-28
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,9,True,2021-01-29
11884,DLN5,B00204053,彈性繃帶-非滅菌,1.0,10,False,2021-03-14
11890,DLN5,B00204053,彈性繃帶-非滅菌,6.0,11,False,2021-03-20
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,12,True,2021-01-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,13,True,2021-01-29
16281,DLN5,B00204053,彈性繃帶-非滅菌,2.0,14,False,2021-04-11
16284,DLN5,B00204053,彈性繃帶-非滅菌,3.0,15,True,2021-04-14
16288,DLN5,B00204053,彈性繃帶-非滅菌,4.0,16,True,2021-04-25
16291,DLN5,B00204053,彈性繃帶-非滅菌,3.0,17,True,2021-04-30
20529,DLN5,B00204053,彈性繃帶-非滅菌,2.0,18,True,2021-05-08
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,19,True,2021-01-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,20,True,2021-01-29
20530,DLN5,B00204053,彈性繃帶-非滅菌,1.0,21,False,2021-05-30
24958,DLN5,B00204053,彈性繃帶-非滅菌,1.0,22,False,2021-06-05
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,23,True,2021-01-29
24959,DLN5,B00204053,彈性繃帶-非滅菌,1.0,24,True,2021-06-18
24961,DLN5,B00204053,彈性繃帶-非滅菌,2.0,25,True,2021-06-25
29711,DLN5,B00204053,彈性繃帶-非滅菌,2.0,26,True,2021-07-02
29712,DLN5,B00204053,彈性繃帶-非滅菌,1.0,27,True,2021-07-05
29714,DLN5,B00204053,彈性繃帶-非滅菌,2.0,28,False,2021-07-18
29717,DLN5,B00204053,彈性繃帶-非滅菌,3.0,29,True,2021-07-22
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,30,True,2021-01-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,31,True,2021-01-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,32,True,2021-01-29
34119,DLN5,B00204053,彈性繃帶-非滅菌,2.0,33,True,2021-08-20
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,34,True,2021-01-29
38708,DLN5,B00204053,彈性繃帶-非滅菌,4.0,35,False,2021-09-05
38709,DLN5,B00204053,彈性繃帶-非滅菌,1.0,36,False,2021-09-12
38712,DLN5,B00204053,彈性繃帶-非滅菌,3.0,37,False,2021-09-19
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,38,True,2021-01-29
43077,DLN5,B00204053,彈性繃帶-非滅菌,2.0,39,False,2021-10-03
43078,DLN5,B00204053,彈性繃帶-非滅菌,1.0,40,False,2021-10-05
43079,DLN5,B00204053,彈性繃帶-非滅菌,1.0,41,False,2021-10-16
43082,DLN5,B00204053,彈性繃帶-非滅菌,4.0,42,False,2021-10-23
43084,DLN5,B00204053,彈性繃帶-非滅菌,2.0,43,True,2021-10-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,44,True,2021-01-29
47141,DLN5,B00204053,彈性繃帶-非滅菌,1.0,45,False,2021-11-13
47142,DLN5,B00204053,彈性繃帶-非滅菌,1.0,46,True,2021-11-15
47144,DLN5,B00204053,彈性繃帶-非滅菌,2.0,47,False,2021-11-28
51448,DLN5,B00204053,彈性繃帶-非滅菌,2.0,48,True,2021-12-01
51450,DLN5,B00204053,彈性繃帶-非滅菌,2.0,49,False,2021-12-11
51451,DLN5,B00204053,彈性繃帶-非滅菌,1.0,50,True,2021-12-14
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,51,True,2021-01-29
3356,DLN5,B00204053,彈性繃帶-非滅菌,0.0,52,True,2021-01-29
