,庫房,料號,品名,數量,帳務日期,週,工作日
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,1,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,2,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,3,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,4,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,5,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,6,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,7,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,8,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,9,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,10,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,11,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,12,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,13,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,14,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,15,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,16,True
20891,DLN5,B10137087,愛康膚銀親水性纖維膚料,2.0,2021-05-01,17,False
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,18,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,19,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,20,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,21,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,22,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,23,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,24,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,25,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,26,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,27,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,28,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,29,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,30,True
34512,DLN5,B10137087,愛康膚銀親水性纖維膚料,5.0,2021-08-07,31,False
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,32,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,33,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,34,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,35,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,36,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,37,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,38,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,39,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,40,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,41,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,42,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,43,True
47571,DLN5,B10137087,愛康膚銀親水性纖維膚料,6.0,2021-11-05,44,True
47576,DLN5,B10137087,愛康膚銀親水性纖維膚料,5.0,2021-11-12,45,True
47577,DLN5,B10137087,愛康膚銀親水性纖維膚料,1.0,2021-11-15,46,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,47,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,48,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,49,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,50,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,51,True
16769,DLN5,B10137087,愛康膚銀親水性纖維膚料,0.0,2021-04-29,52,True
