,庫房,料號,品名,數量,週,工作日,帳務日期
4102,DLN5,C13930399,T型連接管,78.0,1,False,2021-01-10
4173,DLN5,C13930399,T型連接管,77.0,2,False,2021-01-17
4234,DLN5,C13930399,T型連接管,67.0,3,False,2021-01-24
4285,DLN5,C13930399,T型連接管,80.0,4,False,2021-01-30
8053,DLN5,C13930399,T型連接管,69.0,5,True,2021-02-07
8058,DLN5,C13930399,T型連接管,5.0,6,True,2021-02-09
8104,DLN5,C13930399,T型連接管,50.0,7,False,2021-02-21
8175,DLN5,C13930399,T型連接管,80.0,8,False,2021-02-28
12617,DLN5,C13930399,T型連接管,88.0,9,False,2021-03-07
12674,DLN5,C13930399,T型連接管,61.0,10,False,2021-03-14
12735,DLN5,C13930399,T型連接管,74.0,11,False,2021-03-21
12792,DLN5,C13930399,T型連接管,70.0,12,False,2021-03-28
16845,DLN5,C13930399,T型連接管,66.0,13,False,2021-04-04
16909,DLN5,C13930399,T型連接管,73.0,14,False,2021-04-11
16954,DLN5,C13930399,T型連接管,48.0,15,False,2021-04-18
16993,DLN5,C13930399,T型連接管,42.0,16,True,2021-04-25
20961,DLN5,C13930399,T型連接管,54.0,17,False,2021-05-02
21016,DLN5,C13930399,T型連接管,60.0,18,False,2021-05-09
21066,DLN5,C13930399,T型連接管,52.0,19,False,2021-05-16
21119,DLN5,C13930399,T型連接管,58.0,20,False,2021-05-23
21170,DLN5,C13930399,T型連接管,54.0,21,False,2021-05-30
25499,DLN5,C13930399,T型連接管,65.0,22,False,2021-06-06
25550,DLN5,C13930399,T型連接管,62.0,23,False,2021-06-13
25662,DLN5,C13930399,T型連接管,56.0,24,False,2021-06-19
25642,DLN5,C13930399,T型連接管,49.0,25,False,2021-06-27
30286,DLN5,C13930399,T型連接管,61.0,26,False,2021-07-04
30358,DLN5,C13930399,T型連接管,84.0,27,False,2021-07-11
30426,DLN5,C13930399,T型連接管,79.0,28,False,2021-07-18
30482,DLN5,C13930399,T型連接管,63.0,29,False,2021-07-25
34591,DLN5,C13930399,T型連接管,76.0,30,False,2021-08-01
34647,DLN5,C13930399,T型連接管,62.0,31,False,2021-08-08
34694,DLN5,C13930399,T型連接管,51.0,32,False,2021-08-15
34817,DLN5,C13930399,T型連接管,65.0,33,True,2021-08-19
34808,DLN5,C13930399,T型連接管,57.0,34,False,2021-08-29
39290,DLN5,C13930399,T型連接管,80.0,35,False,2021-09-05
39347,DLN5,C13930399,T型連接管,63.0,36,False,2021-09-12
39404,DLN5,C13930399,T型連接管,60.0,37,False,2021-09-19
39445,DLN5,C13930399,T型連接管,49.0,38,True,2021-09-26
43565,DLN5,C13930399,T型連接管,65.0,39,False,2021-10-03
43612,DLN5,C13930399,T型連接管,55.0,40,False,2021-10-10
43653,DLN5,C13930399,T型連接管,45.0,41,False,2021-10-17
43701,DLN5,C13930399,T型連接管,52.0,42,False,2021-10-24
43758,DLN5,C13930399,T型連接管,65.0,43,False,2021-10-31
47711,DLN5,C13930399,T型連接管,60.0,44,False,2021-11-07
47779,DLN5,C13930399,T型連接管,75.0,45,False,2021-11-14
47824,DLN5,C13930399,T型連接管,48.0,46,False,2021-11-21
47881,DLN5,C13930399,T型連接管,75.0,47,False,2021-11-28
51968,DLN5,C13930399,T型連接管,53.0,48,False,2021-12-05
52009,DLN5,C13930399,T型連接管,59.0,49,False,2021-12-12
52070,DLN5,C13930399,T型連接管,72.0,50,False,2021-12-19
52123,DLN5,C13930399,T型連接管,60.0,51,False,2021-12-26
52157,DLN5,C13930399,T型連接管,38.0,52,True,2021-12-30
