,庫房,料號,品名,數量,帳務日期,週,工作日
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,1,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,2,True
4311,DLN5,F36005006,單一無菌引流袋 500cc,3.0,2021-01-24,3,False
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,4,True
8188,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-02-07,5,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,6,True
8189,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-02-18,7,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,8,True
12851,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-03-05,9,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,10,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,11,True
12852,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-03-24,12,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,13,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,14,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,15,True
17050,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-04-22,16,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,17,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,18,True
21199,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-05-16,19,False
21200,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-05-18,20,True
21201,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-05-30,21,False
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,22,True
25727,DLN5,F36005006,單一無菌引流袋 500cc,2.0,2021-06-11,23,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,24,True
25728,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-06-24,25,True
25729,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-06-29,26,True
30568,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-07-09,27,True
30570,DLN5,F36005006,單一無菌引流袋 500cc,2.0,2021-07-15,28,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,29,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,30,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,31,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,32,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,33,True
34839,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-08-28,34,False
39502,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-09-04,35,False
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,36,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,37,True
39503,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-09-24,38,True
43772,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-10-01,39,False
43773,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-10-06,40,False
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,41,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,42,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,43,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,44,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,45,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,46,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,47,True
47918,DLN5,F36005006,單一無菌引流袋 500cc,2.0,2021-11-30,48,True
52182,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-12-09,49,True
52183,DLN5,F36005006,單一無菌引流袋 500cc,1.0,2021-12-16,50,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,51,True
4309,DLN5,F36005006,單一無菌引流袋 500cc,0.0,2021-01-19,52,True
