,庫房,料號,品名,數量,帳務日期,週,工作日
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,1,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,2,False
5053,DLN5,I20100104,心電圖電極貼片,6.0,2021-01-21,3,True
5051,DLN5,I20100104,心電圖電極貼片,3.0,2021-01-30,4,False
8740,DLN5,I20100104,心電圖電極貼片,9.0,2021-02-07,5,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,6,False
8741,DLN5,I20100104,心電圖電極貼片,3.0,2021-02-18,7,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,8,False
13560,DLN5,I20100104,心電圖電極貼片,3.0,2021-03-01,9,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,10,False
13561,DLN5,I20100104,心電圖電極貼片,3.0,2021-03-19,11,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,12,False
13562,DLN5,I20100104,心電圖電極貼片,3.0,2021-03-31,13,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,14,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,15,False
17690,DLN5,I20100104,心電圖電極貼片,9.0,2021-04-22,16,True
17691,DLN5,I20100104,心電圖電極貼片,3.0,2021-04-27,17,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,18,False
21983,DLN5,I20100104,心電圖電極貼片,4.0,2021-05-16,19,False
21984,DLN5,I20100104,心電圖電極貼片,3.0,2021-05-18,20,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,21,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,22,False
26494,DLN5,I20100104,心電圖電極貼片,3.0,2021-06-10,23,True
26495,DLN5,I20100104,心電圖電極貼片,3.0,2021-06-18,24,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,25,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,26,False
31234,DLN5,I20100104,心電圖電極貼片,6.0,2021-07-06,27,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,28,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,29,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,30,False
35405,DLN5,I20100104,心電圖電極貼片,3.0,2021-08-05,31,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,32,False
35407,DLN5,I20100104,心電圖電極貼片,3.0,2021-08-19,33,True
35406,DLN5,I20100104,心電圖電極貼片,3.0,2021-08-27,34,True
35408,DLN5,I20100104,心電圖電極貼片,6.0,2021-08-31,35,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,36,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,37,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,38,False
44369,DLN5,I20100104,心電圖電極貼片,6.0,2021-10-03,39,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,40,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,41,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,42,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,43,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,44,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,45,False
48424,DLN5,I20100104,心電圖電極貼片,3.0,2021-11-19,46,True
48426,DLN5,I20100104,心電圖電極貼片,6.0,2021-11-26,47,True
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,48,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,49,False
52966,DLN5,I20100104,心電圖電極貼片,3.0,2021-12-18,50,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,51,False
5051,DLN5,I20100104,心電圖電極貼片,0.0,2021-01-30,52,False
