,庫房,料號,品名,數量,週,工作日,帳務日期
5159,DLN5,K80004044,Push Button Blood Collection,36.0,1,False,2021-01-10
5190,DLN5,K80004044,Push Button Blood Collection,37.0,2,False,2021-01-17
5220,DLN5,K80004044,Push Button Blood Collection,38.0,3,False,2021-01-24
5236,DLN5,K80004044,Push Button Blood Collection,35.0,4,True,2021-01-28
8834,DLN5,K80004044,Push Button Blood Collection,39.0,5,True,2021-02-07
8839,DLN5,K80004044,Push Button Blood Collection,8.0,6,True,2021-02-09
8864,DLN5,K80004044,Push Button Blood Collection,28.0,7,False,2021-02-21
8894,DLN5,K80004044,Push Button Blood Collection,37.0,8,False,2021-02-28
13640,DLN5,K80004044,Push Button Blood Collection,35.0,9,False,2021-03-06
13665,DLN5,K80004044,Push Button Blood Collection,27.0,10,False,2021-03-14
13693,DLN5,K80004044,Push Button Blood Collection,32.0,11,False,2021-03-21
13723,DLN5,K80004044,Push Button Blood Collection,41.0,12,False,2021-03-28
17763,DLN5,K80004044,Push Button Blood Collection,25.0,13,False,2021-04-04
17788,DLN5,K80004044,Push Button Blood Collection,27.0,14,False,2021-04-11
17809,DLN5,K80004044,Push Button Blood Collection,24.0,15,False,2021-04-18
17831,DLN5,K80004044,Push Button Blood Collection,25.0,16,True,2021-04-25
22024,DLN5,K80004044,Push Button Blood Collection,28.0,17,False,2021-05-02
22046,DLN5,K80004044,Push Button Blood Collection,28.0,18,False,2021-05-09
22064,DLN5,K80004044,Push Button Blood Collection,22.0,19,False,2021-05-16
22090,DLN5,K80004044,Push Button Blood Collection,36.0,20,False,2021-05-23
22124,DLN5,K80004044,Push Button Blood Collection,41.0,21,False,2021-05-30
26565,DLN5,K80004044,Push Button Blood Collection,43.0,22,False,2021-06-06
26590,DLN5,K80004044,Push Button Blood Collection,34.0,23,False,2021-06-13
26662,DLN5,K80004044,Push Button Blood Collection,37.0,24,False,2021-06-19
26647,DLN5,K80004044,Push Button Blood Collection,44.0,25,False,2021-06-27
31296,DLN5,K80004044,Push Button Blood Collection,48.0,26,False,2021-07-04
31338,DLN5,K80004044,Push Button Blood Collection,50.0,27,False,2021-07-11
31377,DLN5,K80004044,Push Button Blood Collection,53.0,28,False,2021-07-18
31404,DLN5,K80004044,Push Button Blood Collection,32.0,29,False,2021-07-25
35474,DLN5,K80004044,Push Button Blood Collection,33.0,30,False,2021-08-01
35492,DLN5,K80004044,Push Button Blood Collection,18.0,31,False,2021-08-08
35506,DLN5,K80004044,Push Button Blood Collection,15.0,32,False,2021-08-15
35538,DLN5,K80004044,Push Button Blood Collection,32.0,33,False,2021-08-22
35563,DLN5,K80004044,Push Button Blood Collection,29.0,34,False,2021-08-29
40460,DLN5,K80004044,Push Button Blood Collection,53.0,35,False,2021-09-05
40501,DLN5,K80004044,Push Button Blood Collection,54.0,36,False,2021-09-12
40532,DLN5,K80004044,Push Button Blood Collection,37.0,37,False,2021-09-19
40558,DLN5,K80004044,Push Button Blood Collection,31.0,38,True,2021-09-26
44424,DLN5,K80004044,Push Button Blood Collection,48.0,39,False,2021-10-03
44452,DLN5,K80004044,Push Button Blood Collection,30.0,40,True,2021-10-09
44474,DLN5,K80004044,Push Button Blood Collection,25.0,41,False,2021-10-17
44498,DLN5,K80004044,Push Button Blood Collection,27.0,42,False,2021-10-24
44537,DLN5,K80004044,Push Button Blood Collection,42.0,43,False,2021-10-31
48492,DLN5,K80004044,Push Button Blood Collection,38.0,44,False,2021-11-07
48513,DLN5,K80004044,Push Button Blood Collection,24.0,45,False,2021-11-14
48540,DLN5,K80004044,Push Button Blood Collection,37.0,46,False,2021-11-21
48556,DLN5,K80004044,Push Button Blood Collection,17.0,47,False,2021-11-28
53044,DLN5,K80004044,Push Button Blood Collection,45.0,48,False,2021-12-05
53061,DLN5,K80004044,Push Button Blood Collection,21.0,49,False,2021-12-12
53093,DLN5,K80004044,Push Button Blood Collection,36.0,50,False,2021-12-19
53129,DLN5,K80004044,Push Button Blood Collection,51.0,51,False,2021-12-26
53146,DLN5,K80004044,Push Button Blood Collection,20.0,52,True,2021-12-29
