,庫房,料號,品名,數量,帳務日期,週,工作日
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,1,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,2,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,3,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,4,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,5,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,6,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,7,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,8,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,9,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,10,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-03-19,11,True
13737,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),2.0,2021-03-24,12,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,13,True
17855,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-04-11,14,False
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,15,True
17856,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-04-22,16,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,17,True
22133,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-05-04,18,False
22134,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-05-11,19,True
22135,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),1.0,2021-05-17,20,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,21,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,22,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,23,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,24,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,25,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,26,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,27,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,28,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,29,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,30,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,31,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,32,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,33,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,34,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,35,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,36,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,37,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,38,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,39,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,40,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,41,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,42,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,43,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,44,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,45,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,46,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,47,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,48,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,49,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,50,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,51,True
13735,DLN5,K82100027,Multi-S Luer Adapt(轉接頭),0.0,2021-03-19,52,True
