,庫房,料號,品名,數量,帳務日期,週,工作日
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,1,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,2,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,3,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,4,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,5,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,6,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,7,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,8,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,9,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,10,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,11,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,12,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,13,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,14,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,15,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,16,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,17,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,18,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,19,True
22159,DLN5,P20100602,造口護理器材適透膜膠,1.0,2021-05-19,20,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,21,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,22,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,23,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,24,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,25,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,26,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,27,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,28,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,29,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,30,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,31,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,32,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,33,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,34,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,35,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,36,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,37,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,38,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,39,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,40,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,41,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,42,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,43,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,44,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,45,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,46,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,47,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,48,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,49,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,50,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,51,True
22158,DLN5,P20100602,造口護理器材適透膜膠,0.0,2021-05-19,52,True
