,庫房,料號,品名,數量,帳務日期,週,工作日
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,1,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,2,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,3,True
5242,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-01-28,4,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,5,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,6,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,7,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,8,True
13746,DLN5,T01101016,氧氣口罩成人含接管,3.0,2021-03-03,9,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,10,True
13747,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-03-17,11,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,12,True
17857,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-04-02,13,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,14,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,15,True
17859,DLN5,T01101016,氧氣口罩成人含接管,2.0,2021-04-22,16,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,17,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,18,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,19,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,20,True
22162,DLN5,T01101016,氧氣口罩成人含接管,2.0,2021-05-29,21,False
26673,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-06-03,22,True
26676,DLN5,T01101016,氧氣口罩成人含接管,3.0,2021-06-12,23,False
26680,DLN5,T01101016,氧氣口罩成人含接管,3.0,2021-06-19,24,False
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,25,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,26,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,27,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,28,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,29,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,30,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,31,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,32,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,33,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,34,True
40594,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-09-03,35,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,36,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,37,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,38,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,39,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,40,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,41,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,42,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,43,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,44,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,45,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,46,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,47,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,48,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,49,True
53150,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-12-14,50,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,51,True
5242,DLN5,T01101016,氧氣口罩成人含接管,0.0,2021-01-28,52,True
