,庫房,料號,品名,數量,週,工作日,帳務日期
5256,DLN5,T04220215,微量噴霧器,2.0,1,True,2021-01-08
5257,DLN5,T04220215,微量噴霧器,1.0,2,True,2021-01-11
5260,DLN5,T04220215,微量噴霧器,3.0,3,False,2021-01-24
5265,DLN5,T04220215,微量噴霧器,5.0,4,True,2021-01-27
8898,DLN5,T04220215,微量噴霧器,2.0,5,True,2021-02-07
5255,DLN5,T04220215,微量噴霧器,0.0,6,True,2021-01-07
5255,DLN5,T04220215,微量噴霧器,0.0,7,True,2021-01-07
5255,DLN5,T04220215,微量噴霧器,0.0,8,True,2021-01-07
13763,DLN5,T04220215,微量噴霧器,6.0,9,True,2021-03-04
13764,DLN5,T04220215,微量噴霧器,1.0,10,True,2021-03-10
13767,DLN5,T04220215,微量噴霧器,3.0,11,True,2021-03-19
13769,DLN5,T04220215,微量噴霧器,2.0,12,True,2021-03-26
17869,DLN5,T04220215,微量噴霧器,5.0,13,False,2021-04-03
17870,DLN5,T04220215,微量噴霧器,1.0,14,True,2021-04-07
5255,DLN5,T04220215,微量噴霧器,0.0,15,True,2021-01-07
17871,DLN5,T04220215,微量噴霧器,1.0,16,True,2021-04-19
17872,DLN5,T04220215,微量噴霧器,1.0,17,True,2021-04-28
22173,DLN5,T04220215,微量噴霧器,1.0,18,True,2021-05-06
22174,DLN5,T04220215,微量噴霧器,1.0,19,False,2021-05-16
22175,DLN5,T04220215,微量噴霧器,1.0,20,True,2021-05-21
22177,DLN5,T04220215,微量噴霧器,2.0,21,True,2021-05-27
26706,DLN5,T04220215,微量噴霧器,4.0,22,True,2021-06-03
26708,DLN5,T04220215,微量噴霧器,2.0,23,False,2021-06-12
26717,DLN5,T04220215,微量噴霧器,4.0,24,False,2021-06-19
26713,DLN5,T04220215,微量噴霧器,2.0,25,False,2021-06-27
31435,DLN5,T04220215,微量噴霧器,3.0,26,False,2021-07-03
31437,DLN5,T04220215,微量噴霧器,2.0,27,False,2021-07-11
31439,DLN5,T04220215,微量噴霧器,2.0,28,False,2021-07-18
31440,DLN5,T04220215,微量噴霧器,1.0,29,True,2021-07-19
31442,DLN5,T04220215,微量噴霧器,2.0,30,True,2021-07-29
35583,DLN5,T04220215,微量噴霧器,2.0,31,False,2021-08-07
5255,DLN5,T04220215,微量噴霧器,0.0,32,True,2021-01-07
5255,DLN5,T04220215,微量噴霧器,0.0,33,True,2021-01-07
35585,DLN5,T04220215,微量噴霧器,2.0,34,True,2021-08-26
40601,DLN5,T04220215,微量噴霧器,3.0,35,False,2021-09-05
40602,DLN5,T04220215,微量噴霧器,1.0,36,False,2021-09-12
40603,DLN5,T04220215,微量噴霧器,1.0,37,True,2021-09-16
40606,DLN5,T04220215,微量噴霧器,3.0,38,True,2021-09-26
44550,DLN5,T04220215,微量噴霧器,3.0,39,False,2021-10-03
44551,DLN5,T04220215,微量噴霧器,1.0,40,False,2021-10-07
5255,DLN5,T04220215,微量噴霧器,0.0,41,True,2021-01-07
44553,DLN5,T04220215,微量噴霧器,2.0,42,False,2021-10-24
44554,DLN5,T04220215,微量噴霧器,1.0,43,True,2021-10-26
48578,DLN5,T04220215,微量噴霧器,1.0,44,True,2021-11-02
5255,DLN5,T04220215,微量噴霧器,0.0,45,True,2021-01-07
48579,DLN5,T04220215,微量噴霧器,1.0,46,True,2021-11-19
48582,DLN5,T04220215,微量噴霧器,3.0,47,True,2021-11-25
53158,DLN5,T04220215,微量噴霧器,1.0,48,True,2021-12-02
53159,DLN5,T04220215,微量噴霧器,1.0,49,True,2021-12-09
53161,DLN5,T04220215,微量噴霧器,2.0,50,False,2021-12-19
53163,DLN5,T04220215,微量噴霧器,2.0,51,False,2021-12-25
53166,DLN5,T04220215,微量噴霧器,3.0,52,True,2021-12-29
