,庫房,料號,品名,數量,帳務日期,週,工作日
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,1,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,2,True
5297,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-01-24,3,False
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-01-29,4,True
8916,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-02-04,5,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,6,True
8917,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-02-17,7,False
8918,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-02-25,8,True
13802,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-03-06,9,False
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,10,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,11,True
13804,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-03-26,12,True
17880,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-04-01,13,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,14,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,15,True
17882,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-04-20,16,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,17,True
22192,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-05-06,18,True
22193,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-05-16,19,False
22195,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,2021-05-18,20,True
22196,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-05-28,21,True
26741,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-06-04,22,True
26742,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-06-08,23,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,24,True
26743,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-06-21,25,True
31474,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-07-01,26,True
31477,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,2021-07-11,27,False
31479,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-07-16,28,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,29,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,30,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,31,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,32,True
35612,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-08-20,33,True
35613,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-08-28,34,False
40642,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-09-03,35,True
40643,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-09-06,36,True
40644,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-09-15,37,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,38,True
44573,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-10-03,39,False
44574,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-10-08,40,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,41,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,42,True
44576,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2021-10-31,43,False
48607,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-11-05,44,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,45,True
48608,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-11-15,46,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,47,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,48,True
53184,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-12-09,49,True
53185,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2021-12-15,50,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,51,True
5295,DLN5,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,2021-01-29,52,True
