,庫房,料號,品名,數量,帳務日期,週,工作日
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,1,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,2,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,3,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,4,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,5,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,6,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,7,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,8,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,9,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,10,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,11,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),1.0,2021-03-25,12,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,13,True
17886,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),5.0,2021-04-06,14,True
17887,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),2.0,2021-04-16,15,True
17890,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),3.0,2021-04-24,16,False
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,17,True
22200,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),3.0,2021-05-03,18,False
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,19,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,20,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,21,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,22,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,23,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,24,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,25,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,26,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,27,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,28,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,29,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,30,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,31,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,32,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,33,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,34,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,35,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,36,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,37,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,38,True
44587,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),3.0,2021-10-03,39,False
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,40,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,41,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,42,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,43,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,44,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,45,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,46,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,47,True
53196,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),1.0,2021-12-03,48,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,49,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,50,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,51,True
13808,DLN5,Y12876206,康威 多愛膚親水性敷料(人工皮),0.0,2021-03-25,52,True
