,庫房,料號,品名,數量,帳務日期,週,工作日
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,1,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,2,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,3,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,4,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,5,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,6,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,7,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,8,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,9,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,10,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,11,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,12,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,13,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,14,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,15,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,16,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,17,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,18,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,19,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,20,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,21,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,22,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,23,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,24,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,25,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,26,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,27,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,28,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,29,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,30,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,31,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,32,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,33,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,34,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,35,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,36,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,37,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,38,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,39,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,40,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,41,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,42,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,43,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,44,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,45,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,46,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,47,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,48,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,49,True
41115,DLN8,A02120241,塑膠注射針頭,1.0,2021-12-17,50,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,51,True
41115,DLN8,A02120241,塑膠注射針頭,0.0,2021-12-17,52,True
