,庫房,料號,品名,數量,帳務日期,週,工作日
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,1,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,2,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,3,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,4,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,5,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,6,True
6291,DLN8,A02320160,靜脈留置針-16G,1.0,2021-02-19,7,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,8,True
11207,DLN8,A02320160,靜脈留置針-16G,3.0,2021-03-04,9,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,10,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,11,True
11210,DLN8,A02320160,靜脈留置針-16G,1.0,2021-03-24,12,True
11211,DLN8,A02320160,靜脈留置針-16G,1.0,2021-03-29,13,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,14,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,15,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,16,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,17,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,18,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,19,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,20,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,21,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,22,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,23,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,24,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,25,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,26,True
23770,DLN8,A02320160,靜脈留置針-16G,3.0,2021-07-09,27,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,28,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,29,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,30,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,31,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,32,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,33,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,34,True
27372,DLN8,A02320160,靜脈留置針-16G,1.0,2021-08-30,35,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,36,True
31199,DLN8,A02320160,靜脈留置針-16G,1.0,2021-09-14,37,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,38,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,39,True
34625,DLN8,A02320160,靜脈留置針-16G,1.0,2021-10-04,40,False
34626,DLN8,A02320160,靜脈留置針-16G,1.0,2021-10-13,41,True
34627,DLN8,A02320160,靜脈留置針-16G,1.0,2021-10-19,42,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,43,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,44,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,45,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,46,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,47,True
41117,DLN8,A02320160,靜脈留置針-16G,1.0,2021-12-02,48,True
41118,DLN8,A02320160,靜脈留置針-16G,1.0,2021-12-06,49,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,50,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,51,True
6291,DLN8,A02320160,靜脈留置針-16G,0.0,2021-02-19,52,True
