,庫房,料號,品名,數量,週,工作日,帳務日期
2884,DLN8,B03106859,人工薄膜,49.0,1,False,2021-01-10
2935,DLN8,B03106859,人工薄膜,59.0,2,False,2021-01-17
2960,DLN8,B03106859,人工薄膜,30.0,3,False,2021-01-24
3004,DLN8,B03106859,人工薄膜,50.0,4,False,2021-01-31
7710,DLN8,B03106859,人工薄膜,40.0,5,True,2021-02-07
7756,DLN8,B03106859,人工薄膜,55.0,6,False,2021-02-14
7811,DLN8,B03106859,人工薄膜,79.0,7,False,2021-02-21
7870,DLN8,B03106859,人工薄膜,70.0,8,False,2021-02-28
12717,DLN8,B03106859,人工薄膜,53.0,9,False,2021-03-07
12762,DLN8,B03106859,人工薄膜,51.0,10,False,2021-03-14
12793,DLN8,B03106859,人工薄膜,35.0,11,False,2021-03-21
12836,DLN8,B03106859,人工薄膜,56.0,12,False,2021-03-28
17423,DLN8,B03106859,人工薄膜,43.0,13,False,2021-04-04
17465,DLN8,B03106859,人工薄膜,52.0,14,False,2021-04-11
17512,DLN8,B03106859,人工薄膜,72.0,15,False,2021-04-18
17562,DLN8,B03106859,人工薄膜,64.0,16,True,2021-04-25
20697,DLN8,B03106859,人工薄膜,59.0,17,False,2021-05-02
20745,DLN8,B03106859,人工薄膜,62.0,18,False,2021-05-09
20782,DLN8,B03106859,人工薄膜,43.0,19,False,2021-05-16
20800,DLN8,B03106859,人工薄膜,21.0,20,False,2021-05-22
20818,DLN8,B03106859,人工薄膜,19.0,21,False,2021-05-30
22240,DLN8,B03106859,人工薄膜,8.0,22,False,2021-06-06
22249,DLN8,B03106859,人工薄膜,9.0,23,False,2021-06-12
22257,DLN8,B03106859,人工薄膜,8.0,24,False,2021-06-20
22273,DLN8,B03106859,人工薄膜,22.0,25,False,2021-06-27
24757,DLN8,B03106859,人工薄膜,15.0,26,False,2021-07-04
24787,DLN8,B03106859,人工薄膜,36.0,27,False,2021-07-11
24831,DLN8,B03106859,人工薄膜,51.0,28,False,2021-07-18
24863,DLN8,B03106859,人工薄膜,37.0,29,False,2021-07-25
28597,DLN8,B03106859,人工薄膜,57.0,30,False,2021-08-01
28635,DLN8,B03106859,人工薄膜,44.0,31,False,2021-08-08
28660,DLN8,B03106859,人工薄膜,28.0,32,False,2021-08-15
28691,DLN8,B03106859,人工薄膜,32.0,33,False,2021-08-22
28725,DLN8,B03106859,人工薄膜,40.0,34,False,2021-08-29
32133,DLN8,B03106859,人工薄膜,50.0,35,False,2021-09-05
32172,DLN8,B03106859,人工薄膜,54.0,36,False,2021-09-12
32202,DLN8,B03106859,人工薄膜,34.0,37,False,2021-09-19
32235,DLN8,B03106859,人工薄膜,45.0,38,True,2021-09-26
35482,DLN8,B03106859,人工薄膜,63.0,39,False,2021-10-03
35522,DLN8,B03106859,人工薄膜,48.0,40,False,2021-10-10
35559,DLN8,B03106859,人工薄膜,44.0,41,False,2021-10-17
35596,DLN8,B03106859,人工薄膜,45.0,42,False,2021-10-24
35638,DLN8,B03106859,人工薄膜,47.0,43,False,2021-10-31
38775,DLN8,B03106859,人工薄膜,45.0,44,False,2021-11-07
38807,DLN8,B03106859,人工薄膜,39.0,45,False,2021-11-14
38846,DLN8,B03106859,人工薄膜,44.0,46,False,2021-11-21
38874,DLN8,B03106859,人工薄膜,31.0,47,False,2021-11-28
41825,DLN8,B03106859,人工薄膜,49.0,48,False,2021-12-05
41874,DLN8,B03106859,人工薄膜,55.0,49,False,2021-12-12
41909,DLN8,B03106859,人工薄膜,44.0,50,False,2021-12-19
41946,DLN8,B03106859,人工薄膜,46.0,51,False,2021-12-26
41968,DLN8,B03106859,人工薄膜,25.0,52,True,2021-12-30
