,庫房,料號,品名,數量,帳務日期,週,工作日
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,1,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,2,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,3,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,4,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,5,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,6,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,7,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,8,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,9,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,10,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,11,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,12,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,13,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,14,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,15,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,16,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,17,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,18,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,19,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,20,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,21,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,22,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,23,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,24,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,25,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,26,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,27,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,28,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,29,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,30,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,31,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,32,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,33,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,34,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,35,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,36,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,37,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,38,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,39,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,40,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,41,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,42,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,43,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,44,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,45,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,46,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,47,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,48,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,1.0,2021-12-12,49,False
42005,DLN8,B08142226,紗布墊 2〞x2〞x8ply,1.0,2021-12-13,50,True
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,51,False
42004,DLN8,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-12-12,52,False
