,庫房,料號,品名,數量,帳務日期,週,工作日
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,1,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,2,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,3,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,4,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,5,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,6,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,7,True
7901,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),4.0,2021-02-28,8,False
12923,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),1.0,2021-03-07,9,False
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,10,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,11,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,12,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,13,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,14,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,15,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,16,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,17,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,18,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,19,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,20,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,21,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,22,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,23,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,24,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,25,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,26,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,27,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,28,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,29,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,30,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,31,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,32,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,33,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,34,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,35,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,36,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,37,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,38,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,39,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,40,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,41,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,42,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,43,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,44,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,45,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,46,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,47,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,48,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,49,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,50,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,51,True
7900,DLN8,B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,2021-02-26,52,True
