,庫房,料號,品名,數量,帳務日期,週,工作日
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,1,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,2,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,3,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,4,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,5,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,6,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,7,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,8,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,9,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,1.0,2021-03-11,10,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,11,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,12,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,13,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,14,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,15,True
17672,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,1.0,2021-04-20,16,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,17,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,18,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,19,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,20,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,21,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,22,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,23,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,24,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,25,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,26,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,27,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,28,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,29,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,30,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,31,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,32,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,33,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,34,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,35,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,36,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,37,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,38,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,39,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,40,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,41,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,42,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,43,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,44,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,45,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,46,True
38988,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,2.0,2021-11-24,47,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,48,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,49,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,50,True
12960,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,0.0,2021-03-11,51,True
42062,DLN8,C00725000,2 Lumen 抗感染雙重輸液導管組,1.0,2021-12-27,52,True
