,庫房,料號,品名,數量,週,工作日,帳務日期
3225,DLN8,C13830005,IV注射帽,5.0,1,False,2021-01-09
3233,DLN8,C13830005,IV注射帽,9.0,2,False,2021-01-17
3221,DLN8,C13830005,IV注射帽,0.0,3,True,2021-01-04
3237,DLN8,C13830005,IV注射帽,4.0,4,True,2021-01-29
8180,DLN8,C13830005,IV注射帽,2.0,5,True,2021-02-02
8183,DLN8,C13830005,IV注射帽,3.0,6,False,2021-02-14
8186,DLN8,C13830005,IV注射帽,3.0,7,True,2021-02-18
8187,DLN8,C13830005,IV注射帽,1.0,8,True,2021-02-22
13208,DLN8,C13830005,IV注射帽,1.0,9,True,2021-03-04
13212,DLN8,C13830005,IV注射帽,4.0,10,True,2021-03-11
13216,DLN8,C13830005,IV注射帽,4.0,11,False,2021-03-20
13219,DLN8,C13830005,IV注射帽,3.0,12,False,2021-03-28
13220,DLN8,C13830005,IV注射帽,1.0,13,True,2021-03-30
17895,DLN8,C13830005,IV注射帽,4.0,14,True,2021-04-07
17897,DLN8,C13830005,IV注射帽,2.0,15,False,2021-04-17
17898,DLN8,C13830005,IV注射帽,1.0,16,True,2021-04-21
17899,DLN8,C13830005,IV注射帽,1.0,17,True,2021-04-27
20993,DLN8,C13830005,IV注射帽,1.0,18,True,2021-05-06
3221,DLN8,C13830005,IV注射帽,0.0,19,True,2021-01-04
20995,DLN8,C13830005,IV注射帽,2.0,20,True,2021-05-19
20996,DLN8,C13830005,IV注射帽,1.0,21,True,2021-05-25
22377,DLN8,C13830005,IV注射帽,1.0,22,True,2021-06-01
3221,DLN8,C13830005,IV注射帽,0.0,23,True,2021-01-04
22378,DLN8,C13830005,IV注射帽,1.0,24,False,2021-06-14
22381,DLN8,C13830005,IV注射帽,3.0,25,True,2021-06-23
3221,DLN8,C13830005,IV注射帽,0.0,26,True,2021-01-04
25098,DLN8,C13830005,IV注射帽,2.0,27,False,2021-07-10
25101,DLN8,C13830005,IV注射帽,3.0,28,False,2021-07-18
25103,DLN8,C13830005,IV注射帽,2.0,29,True,2021-07-23
3221,DLN8,C13830005,IV注射帽,0.0,30,True,2021-01-04
28911,DLN8,C13830005,IV注射帽,1.0,31,True,2021-08-02
28912,DLN8,C13830005,IV注射帽,1.0,32,True,2021-08-13
28913,DLN8,C13830005,IV注射帽,1.0,33,True,2021-08-19
28914,DLN8,C13830005,IV注射帽,1.0,34,True,2021-08-24
32452,DLN8,C13830005,IV注射帽,4.0,35,True,2021-09-03
32454,DLN8,C13830005,IV注射帽,2.0,36,False,2021-09-12
32462,DLN8,C13830005,IV注射帽,9.0,37,False,2021-09-19
32467,DLN8,C13830005,IV注射帽,5.0,38,True,2021-09-26
35876,DLN8,C13830005,IV注射帽,9.0,39,False,2021-10-02
35888,DLN8,C13830005,IV注射帽,14.0,40,False,2021-10-10
35889,DLN8,C13830005,IV注射帽,1.0,41,True,2021-10-12
35892,DLN8,C13830005,IV注射帽,5.0,42,False,2021-10-24
35893,DLN8,C13830005,IV注射帽,1.0,43,True,2021-10-25
39170,DLN8,C13830005,IV注射帽,5.0,44,False,2021-11-06
39174,DLN8,C13830005,IV注射帽,4.0,45,False,2021-11-14
39181,DLN8,C13830005,IV注射帽,7.0,46,False,2021-11-20
39183,DLN8,C13830005,IV注射帽,2.0,47,True,2021-11-24
42256,DLN8,C13830005,IV注射帽,11.0,48,False,2021-12-05
42259,DLN8,C13830005,IV注射帽,3.0,49,False,2021-12-11
42261,DLN8,C13830005,IV注射帽,2.0,50,True,2021-12-17
42266,DLN8,C13830005,IV注射帽,5.0,51,False,2021-12-25
3221,DLN8,C13830005,IV注射帽,0.0,52,True,2021-01-04
