,庫房,料號,品名,數量,帳務日期,週,工作日
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,1,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-01-14,2,True
3438,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-01-23,3,False
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,4,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,5,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,6,True
8420,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-02-21,7,False
8422,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,2021-02-26,8,True
13431,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-03-06,9,False
13433,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,2021-03-11,10,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,11,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,12,True
13434,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-03-29,13,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,14,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,15,True
18106,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,2021-04-20,16,True
18107,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-04-26,17,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,18,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,19,True
21152,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-05-18,20,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,21,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,22,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,23,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,24,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,25,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,26,True
25273,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-07-11,27,False
25274,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-07-13,28,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,29,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,30,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,31,True
29077,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,2021-08-12,32,True
29078,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-08-17,33,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,34,True
32643,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-09-02,35,True
32644,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-09-12,36,False
32645,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-09-13,37,True
32646,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-09-23,38,True
36076,DLN8,D00320301,3-0 尼龍線  Nylon,3.0,2021-10-01,39,False
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,40,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,41,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,42,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,43,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,44,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,45,True
39354,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,2021-11-18,46,True
39356,DLN8,D00320301,3-0 尼龍線  Nylon,4.0,2021-11-24,47,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,48,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,49,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,50,True
3437,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2021-01-14,51,True
42453,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,2021-12-27,52,True
