,庫房,料號,品名,數量,週,工作日,帳務日期
3471,DLN8,F36005006,單一無菌引流袋 500cc,3.0,1,False,2021-01-10
3474,DLN8,F36005006,單一無菌引流袋 500cc,3.0,2,True,2021-01-15
3476,DLN8,F36005006,單一無菌引流袋 500cc,2.0,3,True,2021-01-22
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,4,False,2021-01-01
8461,DLN8,F36005006,單一無菌引流袋 500cc,1.0,5,True,2021-02-05
8463,DLN8,F36005006,單一無菌引流袋 500cc,2.0,6,False,2021-02-11
8466,DLN8,F36005006,單一無菌引流袋 500cc,3.0,7,False,2021-02-21
8468,DLN8,F36005006,單一無菌引流袋 500cc,2.0,8,False,2021-02-28
13490,DLN8,F36005006,單一無菌引流袋 500cc,1.0,9,True,2021-03-04
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,10,False,2021-01-01
13494,DLN8,F36005006,單一無菌引流袋 500cc,4.0,11,True,2021-03-19
13495,DLN8,F36005006,單一無菌引流袋 500cc,1.0,12,True,2021-03-26
18153,DLN8,F36005006,單一無菌引流袋 500cc,1.0,13,False,2021-04-04
18155,DLN8,F36005006,單一無菌引流袋 500cc,2.0,14,False,2021-04-10
18157,DLN8,F36005006,單一無菌引流袋 500cc,2.0,15,False,2021-04-17
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,16,False,2021-01-01
21189,DLN8,F36005006,單一無菌引流袋 500cc,3.0,17,False,2021-05-01
21190,DLN8,F36005006,單一無菌引流袋 500cc,1.0,18,True,2021-05-08
21191,DLN8,F36005006,單一無菌引流袋 500cc,1.0,19,True,2021-05-11
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,20,False,2021-01-01
21192,DLN8,F36005006,單一無菌引流袋 500cc,1.0,21,True,2021-05-24
22473,DLN8,F36005006,單一無菌引流袋 500cc,2.0,22,True,2021-06-02
22474,DLN8,F36005006,單一無菌引流袋 500cc,1.0,23,True,2021-06-07
22475,DLN8,F36005006,單一無菌引流袋 500cc,1.0,24,False,2021-06-20
22476,DLN8,F36005006,單一無菌引流袋 500cc,1.0,25,False,2021-06-26
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,26,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,27,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,28,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,29,False,2021-01-01
25316,DLN8,F36005006,單一無菌引流袋 500cc,2.0,30,True,2021-07-30
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,31,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,32,False,2021-01-01
29109,DLN8,F36005006,單一無菌引流袋 500cc,2.0,33,False,2021-08-22
29110,DLN8,F36005006,單一無菌引流袋 500cc,1.0,34,True,2021-08-25
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,35,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,36,False,2021-01-01
32667,DLN8,F36005006,單一無菌引流袋 500cc,1.0,37,True,2021-09-18
32668,DLN8,F36005006,單一無菌引流袋 500cc,1.0,38,True,2021-09-23
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,39,False,2021-01-01
36119,DLN8,F36005006,單一無菌引流袋 500cc,3.0,40,False,2021-10-10
36120,DLN8,F36005006,單一無菌引流袋 500cc,1.0,41,False,2021-10-17
36121,DLN8,F36005006,單一無菌引流袋 500cc,1.0,42,False,2021-10-23
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,43,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,44,False,2021-01-01
39392,DLN8,F36005006,單一無菌引流袋 500cc,1.0,45,False,2021-11-14
39393,DLN8,F36005006,單一無菌引流袋 500cc,1.0,46,True,2021-11-17
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,47,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,48,False,2021-01-01
42485,DLN8,F36005006,單一無菌引流袋 500cc,1.0,49,True,2021-12-06
42486,DLN8,F36005006,單一無菌引流袋 500cc,1.0,50,True,2021-12-16
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,51,False,2021-01-01
3468,DLN8,F36005006,單一無菌引流袋 500cc,0.0,52,False,2021-01-01
