,庫房,料號,品名,數量,帳務日期,週,工作日
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,1,True
3478,DLN8,F41200000,痰液收集器,2.0,2021-01-13,2,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,3,True
3483,DLN8,F41200000,痰液收集器,5.0,2021-01-31,4,False
8471,DLN8,F41200000,痰液收集器,3.0,2021-02-06,5,False
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,6,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,7,True
8472,DLN8,F41200000,痰液收集器,2.0,2021-02-26,8,True
13499,DLN8,F41200000,痰液收集器,4.0,2021-03-06,9,False
13500,DLN8,F41200000,痰液收集器,1.0,2021-03-10,10,True
13503,DLN8,F41200000,痰液收集器,4.0,2021-03-18,11,True
13505,DLN8,F41200000,痰液收集器,2.0,2021-03-28,12,False
13506,DLN8,F41200000,痰液收集器,1.0,2021-03-30,13,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,14,True
18160,DLN8,F41200000,痰液收集器,1.0,2021-04-12,15,True
18163,DLN8,F41200000,痰液收集器,3.0,2021-04-22,16,True
21193,DLN8,F41200000,痰液收集器,4.0,2021-05-02,17,False
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,18,True
21195,DLN8,F41200000,痰液收集器,2.0,2021-05-15,19,False
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,20,True
21199,DLN8,F41200000,痰液收集器,4.0,2021-05-26,21,True
22481,DLN8,F41200000,痰液收集器,7.0,2021-06-06,22,False
22485,DLN8,F41200000,痰液收集器,4.0,2021-06-11,23,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,24,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,25,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,26,True
25320,DLN8,F41200000,痰液收集器,4.0,2021-07-09,27,True
25321,DLN8,F41200000,痰液收集器,1.0,2021-07-14,28,True
25325,DLN8,F41200000,痰液收集器,4.0,2021-07-24,29,False
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,30,True
29111,DLN8,F41200000,痰液收集器,1.0,2021-08-04,31,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,32,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,33,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,34,True
32671,DLN8,F41200000,痰液收集器,3.0,2021-09-02,35,True
32674,DLN8,F41200000,痰液收集器,3.0,2021-09-09,36,True
32676,DLN8,F41200000,痰液收集器,2.0,2021-09-15,37,True
32677,DLN8,F41200000,痰液收集器,1.0,2021-09-22,38,True
3477,DLN8,F41200000,痰液收集器,0.0,2021-01-12,39,True
36122,DLN8,F41200000,痰液收集器,1.0,2021-10-05,40,False
36127,DLN8,F41200000,痰液收集器,5.0,2021-10-14,41,True
36129,DLN8,F41200000,痰液收集器,2.0,2021-10-24,42,False
36130,DLN8,F41200000,痰液收集器,1.0,2021-10-28,43,True
39395,DLN8,F41200000,痰液收集器,2.0,2021-11-07,44,False
39396,DLN8,F41200000,痰液收集器,1.0,2021-11-13,45,False
39397,DLN8,F41200000,痰液收集器,1.0,2021-11-18,46,True
39398,DLN8,F41200000,痰液收集器,1.0,2021-11-28,47,False
42491,DLN8,F41200000,痰液收集器,5.0,2021-12-05,48,False
42496,DLN8,F41200000,痰液收集器,5.0,2021-12-09,49,True
42498,DLN8,F41200000,痰液收集器,3.0,2021-12-18,50,False
42506,DLN8,F41200000,痰液收集器,8.0,2021-12-26,51,False
42507,DLN8,F41200000,痰液收集器,1.0,2021-12-29,52,True
