,庫房,料號,品名,數量,週,工作日,帳務日期
4454,DLN8,I20115199,克萊福藥物準備系統組件,7.0,1,True,2021-01-08
4457,DLN8,I20115199,克萊福藥物準備系統組件,5.0,2,True,2021-01-13
4460,DLN8,I20115199,克萊福藥物準備系統組件,6.0,3,False,2021-01-23
4464,DLN8,I20115199,克萊福藥物準備系統組件,8.0,4,True,2021-01-29
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,5,True,2021-01-04
9336,DLN8,I20115199,克萊福藥物準備系統組件,4.0,6,True,2021-02-08
9340,DLN8,I20115199,克萊福藥物準備系統組件,9.0,7,True,2021-02-18
9344,DLN8,I20115199,克萊福藥物準備系統組件,6.0,8,True,2021-02-24
14410,DLN8,I20115199,克萊福藥物準備系統組件,2.0,9,True,2021-03-05
14412,DLN8,I20115199,克萊福藥物準備系統組件,6.0,10,True,2021-03-10
14415,DLN8,I20115199,克萊福藥物準備系統組件,6.0,11,True,2021-03-17
14420,DLN8,I20115199,克萊福藥物準備系統組件,9.0,12,True,2021-03-25
18909,DLN8,I20115199,克萊福藥物準備系統組件,8.0,13,True,2021-04-01
18912,DLN8,I20115199,克萊福藥物準備系統組件,8.0,14,True,2021-04-07
18913,DLN8,I20115199,克萊福藥物準備系統組件,3.0,15,True,2021-04-13
18919,DLN8,I20115199,克萊福藥物準備系統組件,12.0,16,True,2021-04-22
21541,DLN8,I20115199,克萊福藥物準備系統組件,13.0,17,False,2021-05-01
21545,DLN8,I20115199,克萊福藥物準備系統組件,8.0,18,True,2021-05-07
21548,DLN8,I20115199,克萊福藥物準備系統組件,7.0,19,True,2021-05-12
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,20,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,21,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,22,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,23,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,24,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,25,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,26,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,27,True,2021-01-04
25955,DLN8,I20115199,克萊福藥物準備系統組件,4.0,28,True,2021-07-14
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,29,True,2021-01-04
25957,DLN8,I20115199,克萊福藥物準備系統組件,5.0,30,True,2021-07-29
29824,DLN8,I20115199,克萊福藥物準備系統組件,3.0,31,True,2021-08-06
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,32,True,2021-01-04
29826,DLN8,I20115199,克萊福藥物準備系統組件,3.0,33,True,2021-08-20
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,34,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,35,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,36,True,2021-01-04
33179,DLN8,I20115199,克萊福藥物準備系統組件,1.0,37,True,2021-09-16
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,38,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,39,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,40,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,41,True,2021-01-04
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,42,True,2021-01-04
36599,DLN8,I20115199,克萊福藥物準備系統組件,2.0,43,True,2021-10-29
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,44,True,2021-01-04
39670,DLN8,I20115199,克萊福藥物準備系統組件,3.0,45,True,2021-11-12
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,46,True,2021-01-04
39673,DLN8,I20115199,克萊福藥物準備系統組件,4.0,47,True,2021-11-26
42775,DLN8,I20115199,克萊福藥物準備系統組件,3.0,48,True,2021-12-03
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,49,True,2021-01-04
42778,DLN8,I20115199,克萊福藥物準備系統組件,3.0,50,True,2021-12-17
42781,DLN8,I20115199,克萊福藥物準備系統組件,6.0,51,True,2021-12-24
4450,DLN8,I20115199,克萊福藥物準備系統組件,0.0,52,True,2021-01-04
