,庫房,料號,品名,數量,週,工作日,帳務日期
4482,DLN8,J00202019,勤達豪華型尿袋 (滅菌),3.0,1,False,2021-01-10
4489,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,2,False,2021-01-17
4497,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,3,False,2021-01-23
4503,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,4,False,2021-01-30
9364,DLN8,J00202019,勤達豪華型尿袋 (滅菌),10.0,5,False,2021-02-06
9372,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,6,False,2021-02-14
9379,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,7,True,2021-02-19
9389,DLN8,J00202019,勤達豪華型尿袋 (滅菌),10.0,8,False,2021-02-28
14444,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,9,False,2021-03-07
14449,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,10,False,2021-03-13
14454,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,11,True,2021-03-19
14460,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,12,True,2021-03-25
18945,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,13,False,2021-04-03
18953,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,14,False,2021-04-10
18958,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,15,True,2021-04-16
18963,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,16,True,2021-04-25
18971,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,17,True,2021-04-30
21561,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,18,True,2021-05-07
21570,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,19,False,2021-05-15
4480,DLN8,J00202019,勤達豪華型尿袋 (滅菌),0.0,20,True,2021-01-04
21573,DLN8,J00202019,勤達豪華型尿袋 (滅菌),3.0,21,True,2021-05-28
22569,DLN8,J00202019,勤達豪華型尿袋 (滅菌),2.0,22,True,2021-06-04
22570,DLN8,J00202019,勤達豪華型尿袋 (滅菌),1.0,23,True,2021-06-11
22571,DLN8,J00202019,勤達豪華型尿袋 (滅菌),1.0,24,True,2021-06-16
22576,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,25,False,2021-06-27
22577,DLN8,J00202019,勤達豪華型尿袋 (滅菌),1.0,26,True,2021-06-29
25962,DLN8,J00202019,勤達豪華型尿袋 (滅菌),2.0,27,True,2021-07-09
25969,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,28,False,2021-07-18
25978,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,29,False,2021-07-25
25983,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,30,True,2021-07-28
29831,DLN8,J00202019,勤達豪華型尿袋 (滅菌),2.0,31,True,2021-08-05
29835,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,32,False,2021-08-14
29841,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,33,True,2021-08-20
29849,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,34,False,2021-08-29
33187,DLN8,J00202019,勤達豪華型尿袋 (滅菌),10.0,35,False,2021-09-04
33192,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,36,False,2021-09-11
33199,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,37,False,2021-09-19
33204,DLN8,J00202019,勤達豪華型尿袋 (滅菌),5.0,38,True,2021-09-26
36604,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,39,False,2021-10-03
36611,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,40,True,2021-10-09
36617,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,41,False,2021-10-16
36625,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,42,True,2021-10-22
36633,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,43,True,2021-10-29
39688,DLN8,J00202019,勤達豪華型尿袋 (滅菌),10.0,44,False,2021-11-06
39698,DLN8,J00202019,勤達豪華型尿袋 (滅菌),10.0,45,False,2021-11-14
39704,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,46,True,2021-11-18
39712,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,47,False,2021-11-27
42794,DLN8,J00202019,勤達豪華型尿袋 (滅菌),9.0,48,True,2021-12-03
42801,DLN8,J00202019,勤達豪華型尿袋 (滅菌),8.0,49,False,2021-12-12
42807,DLN8,J00202019,勤達豪華型尿袋 (滅菌),6.0,50,False,2021-12-18
42814,DLN8,J00202019,勤達豪華型尿袋 (滅菌),7.0,51,False,2021-12-25
42816,DLN8,J00202019,勤達豪華型尿袋 (滅菌),2.0,52,True,2021-12-30
