,庫房,料號,品名,數量,帳務日期,週,工作日
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,1,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,2,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-01-18,3,True
4505,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-01-25,4,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,5,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,6,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,7,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,8,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,9,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,10,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,11,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,12,True
18973,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-04-03,13,False
18974,DLN8,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-04-10,14,False
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,15,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,16,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,17,True
21574,DLN8,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-05-03,18,False
21575,DLN8,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-05-11,19,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,20,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,21,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,22,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,23,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,24,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,25,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,26,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,27,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,28,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,29,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,30,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,31,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,32,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,33,True
29856,DLN8,J10907500,〞康諾〞引流袋 (滅菌),4.0,2021-08-29,34,False
33213,DLN8,J10907500,〞康諾〞引流袋 (滅菌),4.0,2021-09-04,35,False
33215,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-09-09,36,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,37,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,38,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,39,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,40,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,41,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,42,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,43,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,44,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,45,True
39715,DLN8,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-11-18,46,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,47,True
42817,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-12-01,48,True
42819,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-12-08,49,True
42821,DLN8,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-12-15,50,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,51,True
4504,DLN8,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-01-18,52,True
