,庫房,料號,品名,數量,帳務日期,週,工作日
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,1,True
4637,DLN8,K82430329,痰盒-綠蓋,1.0,2021-01-12,2,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,3,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,4,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,5,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,6,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,7,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,8,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,9,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,10,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,11,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,12,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,13,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,14,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,15,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,16,True
19126,DLN8,K82430329,痰盒-綠蓋,2.0,2021-04-28,17,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,18,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,19,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,20,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,21,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,22,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,23,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,24,True
22611,DLN8,K82430329,痰盒-綠蓋,4.0,2021-06-27,25,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,26,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,27,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,28,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,29,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,30,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,31,True
29966,DLN8,K82430329,痰盒-綠蓋,3.0,2021-08-15,32,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,33,True
29967,DLN8,K82430329,痰盒-綠蓋,2.0,2021-08-25,34,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,35,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,36,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,37,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,38,True
36769,DLN8,K82430329,痰盒-綠蓋,1.0,2021-10-03,39,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,40,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,41,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,42,True
36771,DLN8,K82430329,痰盒-綠蓋,2.0,2021-10-31,43,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,44,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,45,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,46,True
39859,DLN8,K82430329,痰盒-綠蓋,1.0,2021-11-27,47,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,48,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,49,True
42921,DLN8,K82430329,痰盒-綠蓋,1.0,2021-12-18,50,False
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,51,True
4637,DLN8,K82430329,痰盒-綠蓋,0.0,2021-01-12,52,True
