,庫房,料號,品名,數量,帳務日期,週,工作日
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,1,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,2,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,3,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,4,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,5,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,6,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,7,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,8,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,9,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,10,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,11,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,12,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,13,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,14,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,15,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,16,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,17,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,18,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,19,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,20,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,21,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,22,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,23,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,24,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,25,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,26,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,27,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,28,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,29,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,30,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,31,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,32,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,33,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,34,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,1.0,2021-08-31,35,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,36,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,37,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,38,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,39,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,40,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,41,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,42,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,43,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,44,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,45,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,46,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,47,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,48,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,49,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,50,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,51,True
29981,DLN8,T01102013,噴霧氧氣口罩，Aerosol Mask,0.0,2021-08-31,52,True
