,庫房,料號,品名,數量,週,工作日,帳務日期
4684,DLN8,U91700000,丟棄式導尿包,3.0,1,False,2021-01-10
4691,DLN8,U91700000,丟棄式導尿包,8.0,2,False,2021-01-17
4700,DLN8,U91700000,丟棄式導尿包,10.0,3,False,2021-01-23
4705,DLN8,U91700000,丟棄式導尿包,5.0,4,False,2021-01-30
9564,DLN8,U91700000,丟棄式導尿包,9.0,5,False,2021-02-06
9570,DLN8,U91700000,丟棄式導尿包,6.0,6,False,2021-02-13
9579,DLN8,U91700000,丟棄式導尿包,10.0,7,False,2021-02-21
9588,DLN8,U91700000,丟棄式導尿包,11.0,8,False,2021-02-28
14641,DLN8,U91700000,丟棄式導尿包,10.0,9,False,2021-03-07
14644,DLN8,U91700000,丟棄式導尿包,3.0,10,True,2021-03-12
14649,DLN8,U91700000,丟棄式導尿包,5.0,11,True,2021-03-18
14656,DLN8,U91700000,丟棄式導尿包,7.0,12,True,2021-03-25
19185,DLN8,U91700000,丟棄式導尿包,5.0,13,False,2021-04-03
19193,DLN8,U91700000,丟棄式導尿包,8.0,14,False,2021-04-11
19197,DLN8,U91700000,丟棄式導尿包,4.0,15,True,2021-04-16
19202,DLN8,U91700000,丟棄式導尿包,5.0,16,True,2021-04-25
19210,DLN8,U91700000,丟棄式導尿包,8.0,17,True,2021-04-30
21679,DLN8,U91700000,丟棄式導尿包,8.0,18,True,2021-05-07
21684,DLN8,U91700000,丟棄式導尿包,5.0,19,True,2021-05-14
4682,DLN8,U91700000,丟棄式導尿包,0.0,20,True,2021-01-04
21688,DLN8,U91700000,丟棄式導尿包,4.0,21,True,2021-05-28
22632,DLN8,U91700000,丟棄式導尿包,3.0,22,True,2021-06-04
22633,DLN8,U91700000,丟棄式導尿包,1.0,23,True,2021-06-11
22634,DLN8,U91700000,丟棄式導尿包,1.0,24,True,2021-06-16
22640,DLN8,U91700000,丟棄式導尿包,6.0,25,False,2021-06-27
26139,DLN8,U91700000,丟棄式導尿包,2.0,26,False,2021-07-04
26140,DLN8,U91700000,丟棄式導尿包,1.0,27,True,2021-07-06
26147,DLN8,U91700000,丟棄式導尿包,8.0,28,False,2021-07-18
26157,DLN8,U91700000,丟棄式導尿包,10.0,29,False,2021-07-25
26161,DLN8,U91700000,丟棄式導尿包,4.0,30,True,2021-07-28
30004,DLN8,U91700000,丟棄式導尿包,2.0,31,True,2021-08-05
30009,DLN8,U91700000,丟棄式導尿包,6.0,32,False,2021-08-14
30015,DLN8,U91700000,丟棄式導尿包,6.0,33,True,2021-08-20
30022,DLN8,U91700000,丟棄式導尿包,7.0,34,False,2021-08-29
33366,DLN8,U91700000,丟棄式導尿包,10.0,35,False,2021-09-04
33371,DLN8,U91700000,丟棄式導尿包,6.0,36,False,2021-09-11
33377,DLN8,U91700000,丟棄式導尿包,6.0,37,False,2021-09-19
33382,DLN8,U91700000,丟棄式導尿包,5.0,38,True,2021-09-26
36811,DLN8,U91700000,丟棄式導尿包,10.0,39,False,2021-10-03
36819,DLN8,U91700000,丟棄式導尿包,8.0,40,False,2021-10-10
36824,DLN8,U91700000,丟棄式導尿包,5.0,41,False,2021-10-16
36832,DLN8,U91700000,丟棄式導尿包,8.0,42,True,2021-10-22
36838,DLN8,U91700000,丟棄式導尿包,6.0,43,True,2021-10-29
39908,DLN8,U91700000,丟棄式導尿包,11.0,44,False,2021-11-07
39916,DLN8,U91700000,丟棄式導尿包,9.0,45,False,2021-11-14
39921,DLN8,U91700000,丟棄式導尿包,5.0,46,True,2021-11-18
39928,DLN8,U91700000,丟棄式導尿包,7.0,47,False,2021-11-27
42959,DLN8,U91700000,丟棄式導尿包,8.0,48,True,2021-12-03
42968,DLN8,U91700000,丟棄式導尿包,13.0,49,False,2021-12-12
42973,DLN8,U91700000,丟棄式導尿包,5.0,50,False,2021-12-18
42980,DLN8,U91700000,丟棄式導尿包,8.0,51,False,2021-12-25
42982,DLN8,U91700000,丟棄式導尿包,2.0,52,True,2021-12-30
