,庫房,料號,品名,數量,帳務日期,週,工作日
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,1,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,2,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,3,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,4,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,5,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,6,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,7,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,8,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,9,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,10,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,11,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,12,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,13,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,14,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,15,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,16,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,17,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,18,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,19,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,20,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,21,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,22,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,23,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,24,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,25,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,26,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,27,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,28,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,29,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,30,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,31,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,32,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,33,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,34,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,35,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,36,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,37,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,38,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,39,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,40,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,41,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,42,True
36850,DLN8,V02204118,手術刀片,1.0,2021-10-28,43,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,44,True
39948,DLN8,V02204118,手術刀片,1.0,2021-11-10,45,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,46,True
39949,DLN8,V02204118,手術刀片,1.0,2021-11-26,47,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,48,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,49,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,50,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,51,True
36850,DLN8,V02204118,手術刀片,0.0,2021-10-28,52,True
