,庫房,料號,品名,數量,帳務日期,週,工作日
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,1,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,2,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,3,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,4,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,5,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-02-14,6,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,7,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,8,False
14681,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),2.0,2021-03-06,9,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,10,False
14682,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-03-21,11,False
14683,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-03-28,12,False
14684,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-03-31,13,True
19225,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-04-05,14,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,15,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,16,False
19226,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-04-30,17,True
21702,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),6.0,2021-05-09,18,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,19,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,20,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,21,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,22,False
22652,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-06-10,23,True
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,24,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,25,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,26,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,27,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,28,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,29,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,30,False
30036,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-08-04,31,True
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,32,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,33,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,34,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,35,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,36,False
33409,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-09-16,37,True
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,38,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,39,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,40,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,41,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,42,False
36852,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),3.0,2021-10-30,43,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,44,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,45,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,46,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,47,False
42995,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-12-02,48,True
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,49,False
42996,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),1.0,2021-12-15,50,True
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,51,False
9609,DLN8,Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,2021-02-14,52,False
