,庫房,料號,品名,數量,帳務日期,週,工作日
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,1,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,2,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,3,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,4,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,5,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,6,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,7,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,8,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,9,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,10,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,11,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,12,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,13,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,14,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,15,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,16,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,17,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,18,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,19,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,20,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,21,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,22,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,23,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,24,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,25,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,26,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-07-10,27,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,28,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,29,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,30,False
30039,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-08-08,31,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,32,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,33,False
30040,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-08-28,34,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,35,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,36,False
33410,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-09-15,37,True
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,38,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,39,False
36854,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-10-10,40,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,41,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,42,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,43,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,44,False
39955,DLN8,Z25211869,N95口罩(第2等級)三瓣型,1.0,2021-11-08,45,True
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,46,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,47,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,48,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,49,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,50,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,51,False
26174,DLN8,Z25211869,N95口罩(第2等級)三瓣型,0.0,2021-07-10,52,False
