,庫房,料號,品名,數量,帳務日期,週,工作日
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,1,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,2,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,3,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,4,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,5,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,6,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,7,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,8,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,9,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,10,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,11,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,12,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,13,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,14,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,15,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,16,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,17,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,18,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,19,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,20,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,1,2021/5/30,21,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,22,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,23,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,24,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,25,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,26,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,27,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,28,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,29,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,30,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,31,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,32,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,33,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,34,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,35,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,36,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,37,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,38,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,39,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,40,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,41,False
74633,DLN6,A00421108,1cc 胰島素注射空針-31G,20,2021/10/18,42,True
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,43,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,44,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,45,False
82254,DLN6,A00421108,1cc 胰島素注射空針-31G,1,2021/11/20,46,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,47,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,48,False
89936,DLN6,A00421108,1cc 胰島素注射空針-31G,1,2021/12/8,49,True
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,50,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,51,False
31340,DLN6,A00421108,1cc 胰島素注射空針-31G,0,2021/5/30,52,False
