,庫房,料號,品名,數量,週,工作日,帳務日期
1847,DLN6,A01130509,塑膠灌食空針,12,1,False,2021/1/10
1864,DLN6,A01130509,塑膠灌食空針,18,2,False,2021/1/17
1878,DLN6,A01130509,塑膠灌食空針,14,3,False,2021/1/24
1894,DLN6,A01130509,塑膠灌食空針,18,4,False,2021/1/31
9383,DLN6,A01130509,塑膠灌食空針,15,5,True,2021/2/7
9391,DLN6,A01130509,塑膠灌食空針,8,6,False,2021/2/12
9406,DLN6,A01130509,塑膠灌食空針,17,7,True,2021/2/20
9414,DLN6,A01130509,塑膠灌食空針,8,8,False,2021/2/28
16388,DLN6,A01130509,塑膠灌食空針,10,9,False,2021/3/7
16398,DLN6,A01130509,塑膠灌食空針,11,10,False,2021/3/14
16420,DLN6,A01130509,塑膠灌食空針,9,11,False,2021/3/20
16421,DLN6,A01130509,塑膠灌食空針,14,12,False,2021/3/27
23788,DLN6,A01130509,塑膠灌食空針,10,13,False,2021/4/4
23800,DLN6,A01130509,塑膠灌食空針,12,14,False,2021/4/11
23816,DLN6,A01130509,塑膠灌食空針,18,15,False,2021/4/18
23821,DLN6,A01130509,塑膠灌食空針,5,16,False,2021/4/24
31404,DLN6,A01130509,塑膠灌食空針,9,17,False,2021/5/1
31416,DLN6,A01130509,塑膠灌食空針,12,18,True,2021/5/8
31426,DLN6,A01130509,塑膠灌食空針,10,19,False,2021/5/15
31455,DLN6,A01130509,塑膠灌食空針,23,20,False,2021/5/23
31454,DLN6,A01130509,塑膠灌食空針,11,21,False,2021/5/30
40167,DLN6,A01130509,塑膠灌食空針,22,22,False,2021/6/6
40184,DLN6,A01130509,塑膠灌食空針,18,23,False,2021/6/12
40202,DLN6,A01130509,塑膠灌食空針,18,24,False,2021/6/20
40218,DLN6,A01130509,塑膠灌食空針,20,25,False,2021/6/27
49244,DLN6,A01130509,塑膠灌食空針,16,26,False,2021/7/4
49260,DLN6,A01130509,塑膠灌食空針,18,27,False,2021/7/10
49288,DLN6,A01130509,塑膠灌食空針,30,28,False,2021/7/18
49303,DLN6,A01130509,塑膠灌食空針,17,29,False,2021/7/25
57880,DLN6,A01130509,塑膠灌食空針,10,30,False,2021/8/1
57890,DLN6,A01130509,塑膠灌食空針,10,31,False,2021/8/8
57900,DLN6,A01130509,塑膠灌食空針,10,32,False,2021/8/15
57914,DLN6,A01130509,塑膠灌食空針,16,33,False,2021/8/22
57922,DLN6,A01130509,塑膠灌食空針,9,34,False,2021/8/29
66427,DLN6,A01130509,塑膠灌食空針,13,35,True,2021/9/3
66440,DLN6,A01130509,塑膠灌食空針,14,36,False,2021/9/12
66453,DLN6,A01130509,塑膠灌食空針,14,37,False,2021/9/19
66465,DLN6,A01130509,塑膠灌食空針,12,38,True,2021/9/26
74742,DLN6,A01130509,塑膠灌食空針,16,39,False,2021/10/2
74753,DLN6,A01130509,塑膠灌食空針,13,40,True,2021/10/9
74762,DLN6,A01130509,塑膠灌食空針,9,41,True,2021/10/15
74779,DLN6,A01130509,塑膠灌食空針,18,42,False,2021/10/24
74788,DLN6,A01130509,塑膠灌食空針,9,43,False,2021/10/31
82343,DLN6,A01130509,塑膠灌食空針,22,44,False,2021/11/7
82356,DLN6,A01130509,塑膠灌食空針,14,45,False,2021/11/14
82368,DLN6,A01130509,塑膠灌食空針,13,46,True,2021/11/19
82384,DLN6,A01130509,塑膠灌食空針,16,47,False,2021/11/28
90022,DLN6,A01130509,塑膠灌食空針,10,48,False,2021/12/5
90028,DLN6,A01130509,塑膠灌食空針,6,49,True,2021/12/9
90037,DLN6,A01130509,塑膠灌食空針,9,50,False,2021/12/18
90044,DLN6,A01130509,塑膠灌食空針,7,51,False,2021/12/26
90045,DLN6,A01130509,塑膠灌食空針,1,52,True,2021/12/28
