,庫房,料號,品名,數量,帳務日期,週,工作日
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,1,False
4601,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/1/14,2,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,3,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,4,False
11714,DLN6,A46445209,幫浦輸液套 (含加藥筒),4,2021/2/6,5,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,6,False
11715,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/2/15,7,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,8,False
18794,DLN6,A46445209,幫浦輸液套 (含加藥筒),3,2021/3/7,9,False
18795,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/3/11,10,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,11,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,12,False
26417,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/4/4,13,False
26418,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/4/9,14,True
26419,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/4/13,15,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,16,False
26420,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/4/29,17,True
34478,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/5/4,18,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,19,False
34479,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/5/22,20,False
34481,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/5/28,21,True
43229,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/6/1,22,True
43230,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/6/11,23,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,24,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,25,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,26,False
52259,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/7/5,27,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,28,False
52261,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/7/22,29,True
52264,DLN6,A46445209,幫浦輸液套 (含加藥筒),3,2021/7/30,30,True
61009,DLN6,A46445209,幫浦輸液套 (含加藥筒),4,2021/8/5,31,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,32,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,33,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,34,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,35,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,36,False
69529,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/9/18,37,True
69530,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/9/23,38,True
69532,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/9/28,39,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,40,False
77315,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/10/14,41,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,42,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,43,False
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,44,False
85237,DLN6,A46445209,幫浦輸液套 (含加藥筒),7,2021/11/14,45,False
85240,DLN6,A46445209,幫浦輸液套 (含加藥筒),3,2021/11/19,46,True
85243,DLN6,A46445209,幫浦輸液套 (含加藥筒),3,2021/11/26,47,True
85244,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/11/30,48,True
4600,DLN6,A46445209,幫浦輸液套 (含加藥筒),0,2021/1/1,49,False
92550,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/12/15,50,True
92552,DLN6,A46445209,幫浦輸液套 (含加藥筒),2,2021/12/26,51,False
92553,DLN6,A46445209,幫浦輸液套 (含加藥筒),1,2021/12/27,52,True
