,庫房,料號,品名,數量,帳務日期,週,工作日
12056,DLN6,B03500039,三角巾,0,2021/2/14,1,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,2,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,3,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,4,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,5,False
12056,DLN6,B03500039,三角巾,1,2021/2/14,6,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,7,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,8,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,9,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,10,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,11,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,12,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,13,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,14,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,15,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,16,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,17,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,18,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,19,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,20,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,21,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,22,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,23,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,24,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,25,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,26,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,27,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,28,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,29,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,30,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,31,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,32,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,33,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,34,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,35,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,36,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,37,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,38,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,39,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,40,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,41,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,42,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,43,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,44,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,45,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,46,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,47,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,48,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,49,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,50,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,51,False
12056,DLN6,B03500039,三角巾,0,2021/2/14,52,False
