,庫房,料號,品名,數量,週,工作日,帳務日期
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,1,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,2,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,3,True,2021/1/5
4959,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,4,True,2021/1/28
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,5,True,2021/1/5
12066,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,4,6,False,2021/2/13
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,7,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,8,True,2021/1/5
19206,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,9,False,2021/3/7
19208,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3,10,True,2021/3/11
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,11,True,2021/1/5
19210,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,12,True,2021/3/24
26806,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,13,False,2021/4/4
26808,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,14,True,2021/4/7
26809,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,15,True,2021/4/15
26812,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3,16,True,2021/4/22
26816,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,48,17,True,2021/4/30
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,18,True,2021/1/5
34903,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5,19,True,2021/5/14
34905,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5,20,True,2021/5/20
34906,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,21,True,2021/5/26
43590,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,22,True,2021/6/4
43591,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,23,True,2021/6/7
43592,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,24,True,2021/6/16
43594,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,25,False,2021/6/27
52674,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,26,False,2021/7/3
52676,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3,27,False,2021/7/10
52677,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,28,True,2021/7/16
52678,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,29,True,2021/7/21
52679,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,30,True,2021/7/27
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,31,True,2021/1/5
61383,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,32,False,2021/8/15
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,33,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,34,True,2021/1/5
69874,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,35,True,2021/9/2
69875,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,36,True,2021/9/6
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,37,True,2021/1/5
69876,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,38,False,2021/9/20
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,39,True,2021/1/5
77628,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,40,False,2021/10/6
77630,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,41,True,2021/10/14
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,42,True,2021/1/5
77632,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,43,False,2021/10/30
85587,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3,44,True,2021/11/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,45,True,2021/1/5
85589,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2,46,True,2021/11/18
85590,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,47,False,2021/11/28
92821,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1,48,True,2021/12/1
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,49,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,50,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,51,True,2021/1/5
4957,DLN6,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,0,52,True,2021/1/5
