,庫房,料號,品名,數量,帳務日期,週,工作日
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,1,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,2,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,3,False
5441,DLN6,C02514180,矽質胃管  18FR,1,2021/1/30,4,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,5,False
12545,DLN6,C02514180,矽質胃管  18FR,1,2021/2/10,6,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,7,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,8,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,9,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,10,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,11,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,12,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,13,False
27222,DLN6,C02514180,矽質胃管  18FR,1,2021/4/7,14,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,15,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,16,False
27223,DLN6,C02514180,矽質胃管  18FR,1,2021/4/26,17,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,18,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,19,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,20,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,21,False
44111,DLN6,C02514180,矽質胃管  18FR,2,2021/6/4,22,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,23,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,24,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,25,False
53364,DLN6,C02514180,矽質胃管  18FR,3,2021/7/3,26,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,27,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,28,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,29,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,30,False
61814,DLN6,C02514180,矽質胃管  18FR,1,2021/8/4,31,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,32,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,33,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,34,False
70342,DLN6,C02514180,矽質胃管  18FR,1,2021/9/2,35,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,36,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,37,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,38,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,39,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,40,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,41,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,42,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,43,False
86006,DLN6,C02514180,矽質胃管  18FR,1,2021/11/2,44,True
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,45,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,46,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,47,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,48,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,49,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,50,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,51,False
5441,DLN6,C02514180,矽質胃管  18FR,0,2021/1/30,52,False
