,庫房,料號,品名,數量,帳務日期,週,工作日
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,1,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,2,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,3,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,4,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/2/1,5,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,6,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,7,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,8,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,9,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,10,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,11,True
19799,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/3/22,12,True
19800,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/3/30,13,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,14,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,15,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,16,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,17,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,18,True
35388,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/5/12,19,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,20,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,21,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,22,True
44125,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/6/7,23,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,24,True
44126,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/6/23,25,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,26,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,27,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,28,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,29,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,30,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,31,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,32,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,33,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,34,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,35,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,36,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,37,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,38,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,39,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,40,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,41,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,42,True
78076,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/10/25,43,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,44,True
86022,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/11/8,45,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,46,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,47,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,48,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,49,True
12554,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),0,2021/2/1,50,True
93107,DLN6,C02813013,〞亞康恩〞 導入/引流導管及其附件 (滅菌),1,2021/12/23,51,True
