,庫房,料號,品名,數量,週,工作日,帳務日期
6147,DLN6,D00320301,3-0 尼龍線  Nylon,1,1,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,2,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,3,True,2021/1/5
6150,DLN6,D00320301,3-0 尼龍線  Nylon,3,4,True,2021/1/28
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,5,True,2021/1/5
13170,DLN6,D00320301,3-0 尼龍線  Nylon,2,6,False,2021/2/13
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,7,True,2021/1/5
13172,DLN6,D00320301,3-0 尼龍線  Nylon,2,8,False,2021/2/28
20494,DLN6,D00320301,3-0 尼龍線  Nylon,1,9,False,2021/3/7
20495,DLN6,D00320301,3-0 尼龍線  Nylon,1,10,True,2021/3/9
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,11,True,2021/1/5
20496,DLN6,D00320301,3-0 尼龍線  Nylon,1,12,True,2021/3/24
27887,DLN6,D00320301,3-0 尼龍線  Nylon,2,13,False,2021/4/4
27888,DLN6,D00320301,3-0 尼龍線  Nylon,1,14,True,2021/4/7
27889,DLN6,D00320301,3-0 尼龍線  Nylon,1,15,True,2021/4/15
27892,DLN6,D00320301,3-0 尼龍線  Nylon,3,16,True,2021/4/22
27894,DLN6,D00320301,3-0 尼龍線  Nylon,2,17,True,2021/4/28
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,18,True,2021/1/5
36133,DLN6,D00320301,3-0 尼龍線  Nylon,4,19,True,2021/5/14
36134,DLN6,D00320301,3-0 尼龍線  Nylon,1,20,True,2021/5/20
36135,DLN6,D00320301,3-0 尼龍線  Nylon,1,21,True,2021/5/26
36136,DLN6,D00320301,3-0 尼龍線  Nylon,1,22,True,2021/5/31
44802,DLN6,D00320301,3-0 尼龍線  Nylon,1,23,True,2021/6/7
44803,DLN6,D00320301,3-0 尼龍線  Nylon,1,24,True,2021/6/16
44805,DLN6,D00320301,3-0 尼龍線  Nylon,2,25,False,2021/6/27
54158,DLN6,D00320301,3-0 尼龍線  Nylon,2,26,False,2021/7/3
54160,DLN6,D00320301,3-0 尼龍線  Nylon,3,27,False,2021/7/10
54161,DLN6,D00320301,3-0 尼龍線  Nylon,1,28,True,2021/7/16
54162,DLN6,D00320301,3-0 尼龍線  Nylon,1,29,True,2021/7/21
54163,DLN6,D00320301,3-0 尼龍線  Nylon,1,30,True,2021/7/27
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,31,True,2021/1/5
62512,DLN6,D00320301,3-0 尼龍線  Nylon,2,32,False,2021/8/15
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,33,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,34,True,2021/1/5
70999,DLN6,D00320301,3-0 尼龍線  Nylon,1,35,True,2021/9/2
71002,DLN6,D00320301,3-0 尼龍線  Nylon,3,36,False,2021/9/12
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,37,True,2021/1/5
71003,DLN6,D00320301,3-0 尼龍線  Nylon,1,38,False,2021/9/20
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,39,True,2021/1/5
78663,DLN6,D00320301,3-0 尼龍線  Nylon,1,40,False,2021/10/6
78665,DLN6,D00320301,3-0 尼龍線  Nylon,2,41,True,2021/10/14
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,42,True,2021/1/5
78667,DLN6,D00320301,3-0 尼龍線  Nylon,2,43,False,2021/10/30
86689,DLN6,D00320301,3-0 尼龍線  Nylon,3,44,True,2021/11/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,45,True,2021/1/5
86691,DLN6,D00320301,3-0 尼龍線  Nylon,2,46,True,2021/11/18
86692,DLN6,D00320301,3-0 尼龍線  Nylon,1,47,False,2021/11/28
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,48,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,49,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,50,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,51,True,2021/1/5
6147,DLN6,D00320301,3-0 尼龍線  Nylon,0,52,True,2021/1/5
